Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
256,76,448,412
128,48,260,20
272,80,564,260
228,72,580,208
228,76,436,400
284,76,568,212
300,76,572,208
252,68,240,212
260,84,588,236
324,84,580,232
216,76,444,364
360,88,604,260
304,80,588,224
220,72,452,444
316,80,576,184
60,24,184,16
52,20,200,12
376,88,612,268
328,84,600,248
44,12,152,24
372,88,584,252
288,80,596,224
316,80,560,196
276,80,616,212
280,76,488,444
340,92,652,264
228,80,516,208
348,88,648,232
344,80,624,208
280,80,556,156
340,84,600,256
256,76,536,156
280,76,492,184
300,84,608,228
228,76,532,216
60,24,172,24
308,84,576,236
52,16,168,20
224,72,524,168
236,76,580,252
220,76,556,204
220,72,552,200
256,80,600,216
272,76,600,204
276,80,596,232
308,76,624,272
284,72,540,212
332,88,624,264
300,84,596,176
272,88,612,176
288,80,552,192
328,88,636,256
300,80,536,192
300,80,560,236
340,88,620,272
316,100,672,320
44,12,184,24
352,92,592,228
96,44,208,28
296,80,540,224
336,84,596,272
232,72,564,188
264,76,564,252
252,76,552,220
272,72,512,168
276,80,548,204
120,48,248,32
208,68,248,272
284,80,628,220
400,88,648,292
296,80,580,204
304,80,504,176
304,92,556,176
308,84,588,216
52,24,120,12
56,24,116,8
264,80,600,204
312,84,580,232
44,8,200,16
248,76,560,160
308,80,616,256
272,76,528,240
300,76,536,176
336,84,624,212
52,20,184,4
320,80,620,252
276,108,540,240
136,52,236,56
332,76,528,180
52,20,176,24
92,40,276,20
264,76,588,280
184,64,336,248
344,84,616,232
296,80,632,252
236,72,512,188
228,68,512,152
228,72,536,152
292,80,616,228
296,76,556,200
184,76,532,160
336,80,572,204
68,28,188,32
236,72,532,192
292,80,572,204
308,84,612,256
248,68,580,212
320,84,556,200
272,76,580,176
48,16,164,12
68,28,148,48
228,76,548,200
324,80,580,204
232,72,612,220
264,76,560,224
220,80,540,164
72,32,240,32
300,80,572,272
48,12,120,36
248,76,548,180
220,76,596,184
268,76,576,232
256,72,532,220
244,68,516,184
316,88,628,260
64,28,196,52
316,80,588,204
320,80,596,204
308,84,624,276
292,84,636,224
352,96,636,212
88,40,228,28
52,20,184,8
272,80,612,240
360,84,620,260
232,76,604,236
256,80,596,216
52,16,116,12
208,76,556,196
296,88,612,252
308,84,572,220
216,72,564,216
304,80,568,236
288,88,512,160
276,80,644,236
80,36,136,20
292,72,540,192
184,80,312,228
384,88,616,216
76,32,168,28
292,80,612,240
224,76,512,240
252,80,576,172
288,80,588,240
336,80,604,196
260,84,608,228
256,72,620,224
256,76,544,220
208,68,304,80
56,20,136,20
76,36,224,24
252,72,564,216
256,76,568,192
284,80,544,212
272,76,588,232
272,76,500,204
320,80,588,200
352,84,620,284
84,40,236,16
316,76,564,192
204,68,556,184
324,80,596,196
248,76,596,184
280,76,524,216
320,80,592,208
260,80,608,228
248,80,472,308
344,80,544,216
240,80,612,256
292,84,592,208
52,20,112,16
80,32,216,52
260,76,576,216
364,80,596,216
68,28,196,28
272,80,580,228
344,84,628,232
100,44,212,36
256,76,472,176
320,84,600,240
324,80,600,260
408,92,640,292
260,76,580,224
292,84,556,208
308,80,560,200
280,76,620,220
76,36,212,24
68,28,160,24
332,92,620,492
216,72,560,188
296,80,628,252
168,56,256,36
192,72,540,168
344,88,600,228
260,72,564,208
224,72,524,188
284,84,608,264
268,76,520,164
48,16,156,24
276,80,520,220
288,84,596,268
100,44,244,28
216,68,540,208
136,48,256,32
248,76,568,244
324,80,544,232
252,68,532,172
300,76,588,204
60,24,176,12
240,80,536,224
288,76,536,220
308,76,544,180
288,80,584,208
44,12,116,36
288,76,572,228
312,84,592,268
328,80,496,212
324,84,608,232
272,76,584,260
260,76,616,232
56,24,108,16
72,32,228,52
276,76,520,200
320,92,520,200
292,80,520,192
236,72,576,204
272,76,584,196
320,80,588,232
252,84,596,476
292,88,608,256
104,44,248,36
272,80,596,180
272,80,552,176
340,84,588,220
180,76,608,264
252,76,568,228
172,68,548,164
52,20,240,24
288,76,520,212
308,88,532,248
240,72,496,192
44,12,116,8
344,80,536,204
280,76,544,200
212,72,588,212
332,84,600,204
264,80,624,264
308,76,548,204
248,80,448,440
288,80,596,220
256,72,516,192
232,68,488,180
52,20,148,12
296,76,596,224
352,84,584,216
304,84,540,196
240,72,592,216
324,80,616,236
268,76,512,168
236,76,576,156
268,72,508,184
252,72,572,204
236,80,492,164
184,76,484,472
260,72,572,204
264,80,556,188
352,80,620,224
60,24,216,16
228,72,560,176
292,84,580,228
328,88,636,220
336,88,608,260
320,84,592,220
348,80,568,368
308,92,628,256
276,72,492,176
304,76,476,168
224,72,476,344
328,84,604,240
300,84,636,240
252,76,540,212
312,76,540,228
48,16,144,24
312,80,596,184
288,80,548,200
332,80,540,224
280,84,596,236
292,80,624,188
272,80,616,220
76,32,124,16
44,12,156,16
244,76,584,236
260,80,588,256
140,52,264,44
232,80,592,204
324,84,616,208
56,20,248,36
312,80,544,208
320,88,612,232
292,76,580,216
256,72,516,188
260,72,528,172
304,76,540,180
44,16,168,16
268,76,544,164
296,84,632,228
300,80,632,248
156,52,284,40
312,80,576,240
76,32,188,28
280,84,580,192
284,76,496,208
216,68,508,176
52,20,148,24
292,84,564,216
256,76,576,216
348,84,624,240
240,84,540,252
304,80,612,204
232,72,572,212
84,40,164,28
64,28,184,20
356,80,596,224
204,68,524,172
220,72,504,172
312,88,568,188
252,72,580,196
228,76,640,284
356,84,612,260
284,80,604,268
164,60,376,0
268,88,668,252
276,76,588,180
300,84,624,236
360,88,600,264
296,80,552,220
56,20,148,4
296,88,616,284
204,72,528,184
244,84,528,184
248,76,580,200
352,84,600,260
60,24,204,28
80,36,188,32
72,28,200,28
116,48,256,32
256,76,516,188
280,80,540,212
256,84,624,252
240,76,512,224
304,84,604,260
80,36,240,24
252,80,452,156
60,24,188,20
292,88,612,272
48,12,160,20
348,80,616,244
276,76,492,180
268,80,612,228
232,68,340,264
300,76,592,220
344,84,604,236
404,88,612,444
292,80,624,200
296,80,568,176
248,84,564,188
56,24,148,16
288,80,560,208
312,84,600,200
84,40,200,56
324,88,576,220
260,80,588,236
264,76,572,224
320,80,576,244
272,76,564,208
260,72,512,160
312,84,612,256
360,88,656,232
324,88,544,256
288,88,580,240
104,44,244,24
252,80,604,236
248,76,588,248
300,84,584,256
220,76,608,212
48,16,168,20
272,80,620,248
276,76,556,220
320,84,604,236
236,76,576,216
300,76,504,156
176,64,284,228
48,16,128,12
404,88,588,256
264,76,636,248
296,76,552,192
44,8,160,12
264,80,612,208
220,72,600,216
64,28,176,12
300,80,552,188
280,72,600,208
320,84,584,192
288,88,684,248
48,16,160,20
304,80,596,236
324,80,600,200
232,72,536,152
352,80,632,236
208,64,480,172
272,80,612,196
244,76,588,168
276,80,564,212
276,76,592,204
368,92,588,252
200,68,568,176
252,80,596,212
388,88,572,264
52,16,108,20
348,84,548,220
264,80,540,192
252,72,572,240
276,84,564,188
252,76,516,236
296,76,608,212
44,8,140,12
272,76,612,228
72,36,220,28
260,80,588,196
204,68,536,236
264,72,536,212
228,76,604,240
56,24,156,12
304,80,556,236
52,16,108,24
284,80,504,124
340,80,552,212
300,84,576,208
292,76,564,216
288,80,572,216
272,80,580,172
240,80,592,208
304,88,584,248
236,72,564,216
84,36,204,24
308,92,536,184
228,76,608,232
356,84,628,280
312,80,524,216
292,80,540,184
268,76,528,168
348,68,244,32
284,88,648,220
260,76,536,192
212,68,516,128
264,84,572,180
332,80,592,180
300,84,604,200
256,72,564,236
292,92,560,184
264,76,584,188
276,80,632,232
132,52,288,40
316,92,560,180
216,72,500,156
56,24,208,24
308,76,524,180
116,48,240,24
332,76,520,204
248,80,532,272
272,80,580,208
292,80,564,212
60,24,124,16
284,84,592,256
344,80,548,208
312,84,580,244
128,52,220,36
260,84,620,196
296,72,552,168
304,80,540,212
76,40,332,0
248,80,572,208
88,40,220,16
332,80,532,240
292,80,612,244
168,60,296,40
256,76,580,188
296,80,544,200
304,84,588,216
224,76,608,216
120,48,236,40
284,76,540,200
48,12,144,12
276,76,540,216
328,84,612,256
156,56,272,28
312,80,508,172
124,44,160,32
276,84,640,276
272,84,600,240
44,8,112,16
316,84,632,296
228,72,556,220
316,88,644,240
312,80,520,208
64,32,224,32
252,80,416,436
100,40,200,28
296,80,588,240
260,80,584,228
344,88,572,224
248,72,492,176
160,56,328,48
268,76,592,216
224,68,540,168
268,76,556,192
344,80,600,264
284,76,628,228
332,168,592,236
284,84,552,236
292,84,492,352
336,84,480,168
280,80,512,208
220,68,372,108
276,76,556,224
264,80,540,188
44,12,112,24
68,28,236,24
252,80,508,168
56,24,136,24
304,80,540,232
84,36,176,24
248,76,604,220
244,72,548,220
376,92,616,296
252,80,620,264
284,76,524,212
48,20,132,12
264,84,556,244
300,80,556,188
104,40,248,20
316,80,540,220
324,76,568,212
344,84,620,256
332,76,532,176
48,16,168,16
56,20,180,12
296,80,640,260
260,88,644,260
296,84,616,264
336,88,564,272
56,24,160,16
272,80,540,232
376,88,596,260
160,72,592,168
252,72,492,144
268,80,564,236
236,76,568,208
280,80,580,220
52,20,196,28
288,80,560,200
316,84,584,260
68,32,172,24
276,76,576,200
252,76,612,220
340,76,580,192
80,36,196,52
276,80,532,184
244,72,600,216
268,84,588,200
328,80,604,216
336,88,592,204
276,80,548,224
212,64,236,264
376,84,580,252
268,80,624,240
336,84,608,248
244,76,564,212
292,76,576,192
384,84,568,220
220,72,560,172
300,76,540,208
252,72,484,340
204,68,532,168
276,76,612,304
252,84,612,220
300,76,584,248
352,80,412,96
360,88,632,252
204,76,568,200
304,80,592,232
308,84,632,264
320,84,580,208
288,76,576,184
344,84,576,196
288,76,580,188
284,80,620,244
268,76,540,212
164,60,336,232
260,76,596,288
320,84,560,252
268,72,544,216
268,76,560,188
264,76,508,212
296,76,548,216
252,72,564,184
292,76,492,160
252,80,588,216
216,68,324,264
276,72,552,176
112,48,224,32
300,80,640,288
292,76,516,204
324,92,616,228
268,80,624,244
