Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
372,84,620,220
208,64,212,292
192,68,308,400
220,68,280,328
172,56,300,196
324,84,556,172
304,80,564,236
252,80,600,212
364,84,604,228
184,68,464,484
208,64,280,316
288,84,568,180
104,48,412,84
336,84,596,220
328,76,556,184
328,76,572,188
328,84,560,208
208,64,284,256
148,60,340,284
240,72,396,408
308,76,584,188
336,84,664,244
216,64,336,372
372,92,676,260
180,60,264,236
196,64,260,252
176,60,268,284
260,76,572,152
188,72,400,344
212,68,276,324
172,60,272,280
284,76,552,212
340,80,592,236
360,80,544,204
196,64,332,384
52,32,164,0
208,64,284,332
104,48,348,132
368,80,564,224
320,80,612,204
160,60,244,224
412,96,648,256
164,60,268,244
400,84,700,136
164,56,252,224
328,84,580,256
248,84,452,540
212,64,256,244
240,72,520,164
332,88,616,192
256,76,548,208
320,80,604,212
308,80,560,220
220,64,252,272
212,68,440,484
216,72,416,184
176,64,268,212
180,60,232,220
176,60,268,296
220,68,308,332
248,68,296,312
160,72,296,300
172,60,252,276
212,64,288,288
296,80,580,196
172,60,272,232
244,76,452,312
184,60,280,260
348,84,652,220
244,72,328,404
232,68,284,332
284,80,496,176
148,60,288,304
308,84,604,192
308,80,616,196
360,84,612,232
260,76,584,256
148,56,248,232
344,88,652,228
256,76,492,300
268,76,540,216
248,68,424,412
168,60,260,268
252,76,584,212
228,72,552,180
212,64,256,264
308,80,632,208
212,68,276,324
340,80,600,180
184,60,244,260
176,64,336,380
316,80,596,216
188,64,284,292
176,60,244,252
308,76,588,208
184,60,324,336
156,56,264,216
200,64,260,208
192,76,440,452
216,68,304,336
188,60,308,276
372,92,744,148
264,76,540,200
292,76,612,220
204,64,288,284
180,60,280,204
180,60,268,236
208,64,272,248
192,64,296,312
280,76,564,204
212,68,232,216
180,60,240,232
208,68,284,316
332,80,572,208
212,64,312,248
324,88,608,224
308,80,628,176
184,64,232,272
168,64,284,260
200,72,428,428
188,60,248,220
192,64,288,320
180,60,296,268
208,68,448,468
208,68,432,408
180,68,432,464
200,64,320,380
196,64,224,228
252,80,464,488
156,56,248,200
140,60,432,304
288,80,584,232
392,92,612,228
196,64,272,348
204,64,256,256
344,88,748,140
280,76,504,156
228,68,312,336
320,76,540,172
308,84,552,188
296,76,588,216
272,72,556,208
204,68,304,324
212,68,292,256
316,84,584,180
180,76,428,464
232,68,284,304
212,68,312,280
192,64,288,292
320,80,612,216
236,72,428,444
292,76,584,188
256,76,420,196
276,88,628,200
324,80,628,212
264,76,568,184
212,64,332,372
224,68,312,324
192,60,232,244
180,64,252,264
184,64,308,332
380,88,628,220
216,64,304,296
380,92,588,232
232,72,548,180
220,64,324,332
376,84,696,248
332,80,608,228
176,60,300,256
284,80,616,200
352,80,636,264
60,24,280,0
288,76,568,168
196,64,288,292
204,64,308,340
200,68,452,528
236,76,436,148
224,64,328,344
224,68,296,416
204,64,324,340
212,68,240,212
288,76,540,172
208,64,276,284
392,88,612,248
192,64,360,376
240,76,460,496
200,64,272,248
192,60,248,284
220,72,428,436
276,84,640,212
184,60,204,180
236,72,356,308
264,72,440,504
172,64,324,336
240,68,328,356
160,56,256,280
184,60,288,280
300,80,576,208
204,68,368,328
272,76,588,188
336,84,636,256
292,76,528,176
264,80,600,180
336,80,552,168
208,64,300,364
308,80,600,200
200,64,316,316
312,80,588,220
204,64,296,268
228,72,448,516
336,80,560,188
44,12,240,0
380,88,744,140
212,68,348,332
200,68,420,536
220,68,256,260
188,64,332,356
176,60,284,308
264,76,548,200
164,60,300,308
224,68,256,236
280,80,576,204
252,76,572,188
192,64,288,236
200,68,288,296
192,64,280,232
176,64,300,368
172,60,292,324
196,64,264,296
188,64,280,236
220,68,292,264
212,64,312,292
224,68,236,244
336,76,540,160
164,60,300,232
296,80,592,196
160,60,268,204
220,68,276,296
220,72,440,460
196,64,264,192
192,72,452,480
176,64,272,368
356,84,600,240
180,60,296,100
192,60,264,268
352,80,748,120
176,60,268,216
332,84,580,216
272,80,600,212
224,72,448,376
188,60,296,360
188,64,260,232
284,80,568,188
332,80,604,244
340,80,564,196
220,68,264,244
44,12,184,8
200,60,256,280
176,60,312,256
200,64,332,292
180,60,304,300
332,84,620,220
180,60,260,244
172,68,440,444
212,68,292,320
220,64,328,296
148,56,236,200
256,76,528,176
180,60,268,196
164,60,212,248
316,84,540,176
176,60,292,268
200,64,348,384
160,60,332,348
216,68,348,320
340,84,604,216
292,84,544,184
324,80,604,216
156,60,272,252
200,68,288,268
264,76,556,180
220,72,440,588
152,56,256,236
176,64,332,360
284,76,548,204
232,68,320,332
200,64,268,244
216,68,332,384
340,80,224,0
288,76,628,264
280,80,560,184
176,60,276,208
228,72,516,176
340,80,576,232
292,76,620,228
184,64,320,328
376,84,540,192
216,64,276,244
160,56,332,272
220,68,308,324
392,92,672,224
176,64,304,272
300,76,548,208
156,56,296,248
216,64,308,256
180,64,232,236
224,68,408,516
300,84,592,196
232,68,280,296
196,68,272,248
252,68,552,196
348,88,636,248
164,60,276,252
316,84,616,216
396,84,656,252
332,88,580,204
324,84,588,212
212,68,276,240
212,68,316,284
220,72,452,544
336,88,588,224
216,68,448,520
208,68,292,304
348,80,592,188
280,80,564,196
188,64,256,212
204,68,316,340
316,76,596,224
296,80,596,232
324,88,576,236
196,68,388,356
276,84,624,244
176,64,224,208
156,60,268,220
228,72,456,712
244,76,444,492
212,68,244,260
260,84,640,184
272,76,596,212
172,60,312,364
352,80,652,256
304,84,592,204
244,72,436,564
176,60,288,236
296,80,576,216
216,68,280,316
308,92,664,272
204,64,276,260
208,64,300,260
260,76,560,188
360,84,572,216
192,64,280,320
196,64,244,248
148,60,316,384
164,60,240,240
172,60,272,244
164,60,328,324
224,64,308,268
208,68,296,256
276,80,620,240
336,80,588,192
196,64,252,212
148,68,264,180
220,72,444,572
184,60,296,300
196,64,296,324
332,84,588,236
188,64,268,236
376,84,636,224
356,84,576,204
224,68,308,284
200,64,288,332
216,76,544,188
240,88,636,248
208,64,292,292
288,84,588,208
196,64,244,260
204,68,296,228
256,76,552,188
148,56,228,228
336,80,520,216
184,64,264,272
192,68,328,296
284,80,668,248
332,84,648,236
224,68,296,336
212,68,348,376
296,84,604,224
324,84,556,208
328,80,552,172
216,64,304,240
112,56,328,180
188,64,232,220
368,92,672,268
172,60,260,272
168,60,236,216
208,64,268,316
188,64,280,296
156,60,268,260
316,84,612,252
172,64,304,352
312,80,668,208
156,56,260,232
196,64,308,244
328,84,548,220
148,56,260,284
432,92,652,240
168,60,432,276
196,64,284,244
216,68,288,256
168,60,288,336
328,80,616,220
260,72,308,316
328,80,544,192
248,72,436,396
340,84,656,236
192,64,296,316
240,76,512,180
228,76,412,408
244,68,328,400
192,64,272,236
316,80,608,236
180,64,320,300
208,64,236,220
164,60,280,236
344,84,548,212
304,80,568,192
192,68,456,536
356,84,724,120
188,68,288,216
168,60,276,244
156,56,252,244
212,64,300,228
200,64,356,488
260,72,372,456
248,72,552,164
332,84,680,244
256,72,404,596
180,64,240,236
272,80,604,204
180,64,220,204
208,64,424,384
212,68,336,412
268,80,480,176
212,68,284,300
216,68,272,260
176,60,288,296
204,68,404,468
276,80,600,228
244,76,460,544
288,76,548,176
212,68,292,272
240,68,396,340
268,72,480,168
284,76,560,192
268,72,452,500
368,88,604,220
228,72,444,428
188,68,420,340
168,60,280,320
172,60,248,196
352,84,596,240
248,76,456,484
284,76,564,200
200,64,268,316
168,60,292,244
360,80,536,184
180,60,312,304
200,64,288,324
180,64,292,364
184,64,268,244
196,64,248,260
196,64,288,244
188,64,340,284
176,60,272,248
348,84,644,260
204,64,316,288
156,60,288,260
252,76,580,220
192,64,252,216
200,64,328,284
300,80,576,212
196,64,316,312
176,60,204,172
156,56,256,220
352,88,616,240
304,80,576,216
192,64,260,260
176,60,256,232
352,80,584,168
416,92,724,132
324,80,636,228
180,60,328,300
236,68,220,236
336,84,556,204
188,64,268,244
296,76,580,216
192,64,232,276
152,60,220,224
224,68,232,248
328,80,596,232
172,68,452,592
300,72,592,204
312,80,692,236
224,68,300,320
200,64,324,396
212,68,440,420
132,48,444,0
280,84,576,208
200,60,300,248
224,68,420,148
172,60,272,232
164,60,236,252
220,68,304,264
392,84,752,148
120,56,256,88
264,76,592,200
336,80,592,196
168,60,276,304
264,76,536,188
364,84,572,236
192,64,276,260
260,80,500,148
316,76,584,200
188,64,264,208
220,76,592,188
272,76,576,200
292,84,632,216
184,60,236,216
212,64,244,240
168,56,272,264
168,60,268,260
208,68,308,256
248,76,440,488
232,68,316,364
188,64,264,228
188,60,272,212
320,76,628,224
236,72,436,476
352,88,636,204
248,76,552,204
300,80,576,212
132,52,216,260
188,64,268,244
280,80,564,200
204,64,272,228
216,76,480,544
180,64,284,256
208,68,332,392
236,68,304,324
172,64,312,292
296,80,524,144
248,80,632,240
180,64,468,456
180,64,416,400
312,84,568,184
204,64,284,296
316,80,600,184
208,64,268,288
308,80,544,208
312,88,604,252
352,84,636,216
184,76,492,520
224,64,296,272
200,72,468,556
224,68,284,244
336,88,660,212
200,64,276,312
276,80,584,200
272,76,564,200
184,60,260,280
432,92,780,164
312,84,584,216
88,44,324,0
284,80,632,236
296,80,444,772
344,80,580,264
228,68,352,460
220,68,432,468
156,60,244,268
288,76,552,192
204,68,324,328
192,64,320,348
228,68,332,372
184,64,448,288
396,84,724,136
164,60,256,272
160,56,264,256
304,76,548,200
200,64,256,240
176,60,284,256
296,80,608,192
164,60,212,200
200,64,300,300
216,64,308,304
224,68,336,336
308,80,608,220
236,76,444,512
208,64,280,316
440,84,612,236
216,68,268,232
236,68,304,364
296,76,548,204
344,84,596,224
220,68,320,364
184,60,248,208
388,88,616,248
184,72,392,432
296,80,588,192
204,64,324,352
216,64,280,288
208,64,208,212
156,56,268,256
248,80,552,196
204,64,260,288
172,64,416,372
396,88,632,240
380,80,596,224
256,84,472,636
252,76,608,204
216,68,288,344
304,80,576,204
188,60,308,292
172,60,292,272
208,64,272,300
260,84,568,220
216,68,480,512
192,60,252,260
52,20,244,0
224,80,452,408
192,60,236,212
284,84,656,240
236,68,260,280
208,64,224,224
200,64,276,276
248,72,328,368
304,80,644,224
160,56,224,220
168,60,312,312
212,64,328,272
200,64,324,448
168,60,296,288
196,64,304,248
276,80,608,236
300,84,568,184
312,80,588,244
160,60,228,220
240,76,440,376
212,64,252,304
236,68,300,340
232,68,276,264
176,64,284,212
336,88,528,184
188,60,272,308
228,68,288,356
216,68,332,364
260,72,488,504
212,64,324,368
184,64,332,348
372,84,656,204
176,64,236,200
324,84,616,216
224,68,256,240
160,56,272,308
180,60,272,248
368,88,636,260
260,88,484,688
276,80,628,232
188,64,292,352
216,68,272,308
200,64,328,380
184,60,248,216
292,88,592,236
172,60,288,296
292,80,612,228
368,88,732,148
328,80,624,244
340,84,628,212
176,64,308,300
204,64,256,276
292,84,600,208
180,60,240,228
224,68,312,264
180,60,260,228
192,64,300,272
356,84,616,196
380,84,564,196
88,36,348,0
204,64,256,248
196,64,248,208
292,92,616,248
316,80,584,216
340,84,624,232
164,60,320,316
236,76,456,508
344,84,592,196
208,64,336,312
220,68,296,324
196,64,284,360
180,60,312,372
336,80,524,232
176,64,224,200
288,76,524,208
196,64,424,336
224,64,272,260
192,60,260,260
204,64,296,280
196,60,280,308
268,80,608,208
188,64,284,264
180,60,308,292
228,72,440,496
208,64,248,196
184,60,236,224
200,64,252,204
180,60,328,308
156,68,544,140
184,64,336,384
312,80,604,192
164,68,456,472
236,64,324,300
276,72,552,184
192,64,276,224
292,76,564,188
344,88,632,228
224,68,352,376
184,64,300,292
164,60,252,312
212,72,440,584
208,64,340,388
328,84,632,208
380,92,648,220
376,84,736,124
248,80,604,200
180,64,284,232
196,64,288,312
264,76,560,200
212,68,268,220
340,84,640,240
284,76,584,184
160,60,288,308
240,68,536,224
176,60,296,280
112,52,332,160
236,76,428,512
172,64,224,196
196,68,508,152
212,64,312,332
220,68,388,408
172,60,272,228
380,88,612,212
196,60,320,244
180,64,300,248
292,80,540,196
180,64,304,288
192,64,316,308
192,60,308,268
184,64,296,240
48,20,212,0
244,76,576,172
164,56,272,204
196,64,260,260
164,60,264,240
356,88,604,192
304,88,644,240
