Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
352,80,560,200
44,12,148,12
48,16,208,16
56,24,204,12
328,80,504,148
72,32,208,12
52,16,176,16
292,80,556,152
48,16,140,12
48,16,92,4
256,72,556,172
52,20,140,12
344,84,576,192
56,20,176,16
252,76,560,200
60,28,156,12
300,84,604,200
64,28,208,20
300,80,456,168
52,20,224,12
208,80,464,336
72,28,228,20
64,24,288,32
376,80,600,232
188,76,424,396
48,16,160,12
176,64,248,252
40,8,188,12
44,12,180,16
268,76,560,160
248,68,344,360
92,40,252,24
176,60,232,236
44,8,108,16
60,24,152,20
316,84,552,156
44,12,200,16
48,12,180,12
364,84,704,124
68,28,236,28
384,88,748,136
284,80,496,144
280,84,484,156
48,16,168,24
224,68,288,260
64,28,196,12
52,24,220,20
60,28,192,20
52,20,140,12
72,32,232,28
52,16,120,16
44,8,172,16
304,72,512,172
92,40,196,16
132,52,320,24
100,40,236,28
160,56,240,240
176,60,260,196
44,8,152,12
52,16,176,12
116,48,256,40
52,20,160,12
52,16,184,12
136,52,300,28
100,44,296,28
316,80,568,196
296,80,492,164
100,44,220,40
52,20,232,12
308,76,544,176
252,72,496,148
184,72,444,336
168,60,312,268
52,20,160,12
380,88,604,188
44,8,120,24
304,92,556,172
68,32,152,16
236,72,424,380
312,84,556,140
56,24,176,12
188,68,432,376
368,80,476,164
56,24,136,24
272,92,516,132
152,68,480,448
124,72,296,44
68,32,160,8
204,84,468,152
344,76,568,184
116,48,220,24
44,12,176,16
248,100,548,140
96,40,192,24
200,64,328,228
284,100,564,172
52,20,144,8
204,72,404,272
52,24,192,24
48,16,176,8
68,32,204,24
48,16,184,20
232,76,444,360
52,16,112,8
52,16,136,12
72,32,184,12
368,80,564,232
280,76,556,168
56,20,160,16
80,36,220,16
96,40,244,16
44,12,188,12
76,32,188,12
52,20,172,12
188,60,164,0
348,80,476,160
60,24,208,24
56,20,140,20
328,96,640,172
312,76,560,196
72,32,240,20
296,76,544,176
348,84,732,116
232,80,500,140
268,72,524,172
212,72,344,336
304,88,588,172
284,80,556,168
148,60,232,160
108,40,248,24
324,80,516,152
52,20,148,16
44,12,152,12
68,32,216,20
48,16,160,12
200,64,244,188
64,28,228,24
340,76,512,180
236,72,428,364
288,84,508,140
188,80,500,324
72,32,212,16
100,44,204,28
160,60,296,52
68,32,228,16
60,24,168,12
408,104,536,164
48,20,184,16
88,40,208,16
64,28,168,16
48,16,132,20
56,24,168,20
52,20,96,28
340,80,540,160
120,48,292,48
44,8,144,16
352,84,556,196
48,12,144,12
108,44,236,24
240,68,276,248
52,20,172,12
208,68,260,264
80,36,224,36
52,20,180,12
44,8,164,12
96,40,236,16
236,80,532,160
48,16,184,16
96,40,176,28
48,16,140,4
48,12,204,20
232,76,564,184
276,72,564,180
60,24,156,12
116,48,268,20
44,8,200,16
268,76,524,156
56,24,184,24
68,28,248,20
276,76,488,148
352,84,580,200
52,20,116,8
88,40,216,20
228,72,556,160
360,76,564,188
48,16,192,28
164,64,236,240
68,28,208,16
228,72,496,420
180,64,276,272
56,20,184,12
248,76,540,144
272,88,540,148
52,20,312,0
48,16,168,8
104,44,248,28
244,76,604,176
56,24,200,16
56,24,152,16
48,16,168,16
88,36,224,24
156,56,264,208
68,28,176,20
48,16,128,12
44,8,152,8
120,52,372,156
372,80,596,184
72,32,176,24
336,92,552,140
44,12,200,16
48,16,112,12
268,72,408,356
56,24,132,20
320,92,560,152
52,20,192,12
48,16,148,16
236,84,504,128
216,72,420,360
164,64,288,168
172,60,360,296
84,36,252,16
60,24,152,12
96,40,236,16
76,32,164,12
48,16,184,20
44,12,200,12
60,24,216,12
232,72,352,308
84,40,236,20
44,12,164,0
232,72,400,432
80,36,188,12
308,84,580,184
68,28,216,24
48,16,136,16
100,44,212,28
352,84,548,168
228,84,496,156
304,84,560,148
280,76,524,168
48,16,120,0
104,44,224,24
244,76,504,156
44,8,156,16
48,16,176,12
56,20,204,16
104,44,208,20
48,16,172,12
84,32,272,0
56,24,192,20
252,80,456,480
144,52,276,20
252,80,584,152
60,24,160,12
316,84,520,152
76,32,204,28
76,32,164,28
208,72,324,344
108,44,184,24
164,60,236,200
280,72,508,172
100,40,236,16
272,76,604,216
128,48,312,20
68,32,240,16
56,24,220,16
144,68,472,380
268,76,556,152
52,20,192,12
120,48,260,20
56,24,176,32
52,20,180,20
300,80,520,144
80,32,216,20
172,68,436,392
300,80,452,392
160,60,300,260
204,64,216,252
236,92,464,136
72,32,176,32
52,20,192,16
364,84,588,184
60,24,164,16
196,72,468,460
240,84,588,144
48,20,140,16
56,24,196,16
60,24,180,12
356,88,816,244
236,64,300,284
48,16,196,16
60,24,220,16
308,76,508,164
188,76,300,256
296,76,512,160
360,84,572,188
68,28,196,20
52,20,232,24
60,24,160,16
48,20,200,8
304,80,548,152
216,80,480,452
84,36,228,24
52,20,156,8
64,32,204,20
288,76,560,164
44,12,188,16
324,76,592,212
52,20,256,8
48,16,196,16
148,56,212,188
64,28,196,16
44,12,188,16
48,20,220,24
48,16,152,16
172,72,424,344
52,16,208,16
44,8,164,12
72,28,204,16
56,20,212,12
136,52,220,28
48,20,192,28
48,12,184,24
264,76,572,212
44,8,192,12
268,92,452,132
64,32,184,20
300,72,552,192
292,80,644,212
64,28,192,12
364,100,584,172
356,88,516,148
244,68,332,48
84,40,180,28
72,32,152,16
320,80,536,192
340,84,504,156
184,64,328,268
56,20,144,28
336,104,608,168
52,20,140,16
188,72,440,392
44,12,152,8
52,20,240,12
244,76,456,128
244,80,712,124
280,80,556,180
176,60,304,244
180,68,552,132
320,88,512,164
44,8,164,12
72,32,220,12
60,24,212,20
264,84,552,188
328,88,484,192
236,72,408,668
52,20,220,16
344,88,560,192
52,20,152,20
44,8,152,8
88,40,216,32
64,28,172,16
296,88,532,156
56,24,156,8
328,80,572,188
72,32,204,24
288,84,532,160
52,20,144,8
364,84,596,184
60,28,156,24
296,96,572,144
60,28,212,12
56,24,148,16
92,40,204,24
68,32,204,20
288,80,712,136
44,12,116,8
48,16,164,12
52,20,144,16
68,32,228,28
64,28,136,28
204,64,484,128
44,12,136,4
48,16,228,20
188,64,240,248
120,44,280,28
80,36,228,24
60,24,196,12
44,12,156,8
184,68,496,436
244,76,468,144
80,36,236,20
256,80,524,168
64,32,180,16
192,64,260,244
272,80,544,156
44,8,168,8
80,36,248,24
52,20,172,12
304,84,616,188
344,88,624,156
180,60,292,264
56,20,144,12
224,76,472,440
148,60,252,176
156,56,212,172
48,16,144,12
64,28,180,24
360,84,556,196
56,24,180,16
56,24,216,20
52,20,196,12
212,72,256,236
52,20,156,16
48,12,172,24
320,80,608,180
48,16,252,8
72,28,220,28
80,36,264,16
344,84,684,124
204,64,332,288
256,68,540,160
52,20,200,16
56,20,156,16
44,8,144,8
60,24,188,12
388,88,744,144
44,8,152,0
344,76,548,176
364,96,560,164
300,76,552,204
52,20,120,12
48,16,164,16
64,28,196,24
316,76,608,180
44,12,144,20
268,68,480,172
56,20,240,12
52,20,160,20
52,20,204,12
112,48,132,0
68,28,248,40
44,8,168,8
308,80,736,124
324,80,588,176
44,8,172,4
52,20,200,20
224,80,560,140
44,8,172,8
300,84,540,144
336,80,524,140
72,32,248,20
276,88,512,136
52,20,160,20
56,24,176,20
68,28,224,24
92,40,264,24
312,80,524,156
60,24,216,16
64,28,172,24
68,32,196,24
52,24,204,28
276,72,512,152
220,72,380,312
300,80,488,156
284,80,524,128
240,84,492,136
128,60,308,252
296,80,624,172
260,80,444,156
208,68,452,392
204,76,452,376
288,76,588,200
44,8,176,20
88,36,176,24
324,84,500,172
316,92,552,156
44,12,104,8
60,24,196,12
316,84,628,188
348,96,612,168
212,68,260,220
52,20,168,16
60,24,200,12
368,84,652,180
200,68,236,188
56,20,104,16
48,16,136,8
200,60,380,56
324,88,568,188
48,16,208,16
128,48,236,32
48,16,188,16
168,64,224,176
72,32,200,16
68,32,244,24
52,24,200,24
388,88,532,156
264,80,568,148
52,16,172,16
208,68,268,208
92,40,228,16
216,96,480,128
200,64,272,212
168,64,436,392
56,20,184,16
336,84,612,200
264,80,600,188
60,24,168,20
72,28,236,28
68,28,252,16
212,76,432,364
56,24,224,20
48,12,176,8
308,80,484,184
72,32,176,20
48,16,184,12
48,20,172,12
196,68,468,388
56,28,232,24
192,64,252,212
236,72,396,364
44,12,168,4
56,24,192,24
52,16,164,8
196,64,268,236
44,12,212,4
60,24,176,8
44,12,168,4
256,76,500,136
72,32,196,20
48,20,204,8
56,20,180,8
320,80,568,180
332,100,516,172
72,36,256,48
84,36,256,28
220,72,572,184
72,32,204,24
56,20,156,12
284,100,612,168
68,32,184,28
188,64,276,232
88,36,220,28
52,24,136,16
64,28,168,24
268,84,460,148
76,32,188,20
80,40,224,24
76,32,208,24
340,92,588,176
192,68,524,160
152,60,456,384
48,16,180,20
192,80,432,336
64,24,232,24
120,48,292,28
312,92,488,136
80,32,260,28
48,16,148,4
52,20,148,12
68,32,228,24
196,64,216,236
60,24,184,24
52,20,212,20
340,96,572,188
56,20,164,12
160,68,440,352
268,76,516,156
68,32,228,24
224,76,588,168
172,64,272,216
276,84,580,176
316,80,552,184
44,8,156,8
52,20,164,20
80,36,356,84
52,20,156,12
56,24,136,4
360,88,548,160
44,8,192,12
48,16,128,12
52,20,192,20
188,60,284,232
160,60,288,204
84,40,200,16
44,12,180,16
120,48,288,28
288,80,532,172
232,68,256,260
44,12,164,12
188,64,328,328
72,32,192,20
52,16,184,4
336,92,620,184
360,100,556,180
184,68,464,312
96,44,252,16
80,32,256,20
52,20,160,16
84,40,240,16
176,60,308,264
228,64,288,240
288,80,484,172
44,12,224,8
52,20,180,8
48,16,160,16
56,20,212,8
164,60,264,164
108,44,300,32
356,96,544,160
260,92,476,124
64,28,216,20
52,20,200,24
336,80,596,192
52,20,224,20
148,52,288,32
60,24,200,28
56,20,200,24
52,16,212,16
328,76,564,168
96,44,200,36
60,24,228,16
96,40,252,44
308,84,548,164
44,16,164,8
148,56,252,164
300,80,612,216
292,80,464,148
332,76,532,188
60,24,192,16
48,16,164,12
48,16,140,12
48,16,168,24
52,20,168,8
44,8,120,12
336,84,544,188
52,24,224,28
76,36,204,16
188,64,284,252
312,80,564,184
48,16,172,8
260,80,600,192
60,24,156,16
96,40,232,20
44,12,160,12
296,88,576,172
84,36,240,28
88,36,236,24
48,16,180,16
76,32,284,32
44,16,208,20
184,60,228,208
80,32,244,16
72,28,248,16
48,16,140,12
80,36,248,44
44,12,208,16
196,72,452,416
48,16,240,12
72,32,220,16
56,24,176,16
48,16,184,20
76,32,164,16
64,28,196,24
80,36,204,16
232,76,512,148
44,8,212,20
304,76,508,172
304,72,528,148
48,16,120,12
44,12,168,12
264,88,544,176
212,68,388,340
172,60,324,288
52,20,144,16
284,76,544,168
292,80,584,188
256,88,508,140
48,16,160,8
52,20,176,16
200,72,248,188
148,64,476,336
224,72,424,416
68,32,196,16
68,28,244,16
224,68,256,272
44,8,220,12
52,20,188,12
44,8,156,24
308,84,792,148
288,76,496,152
60,28,184,24
64,28,204,20
76,32,220,20
44,16,88,8
96,40,184,40
84,36,264,24
76,32,220,12
44,12,232,12
64,28,192,12
284,80,616,180
56,24,168,16
176,60,368,56
44,8,176,12
124,48,300,32
300,84,524,156
48,16,184,16
68,32,256,20
276,68,488,144
52,16,160,12
52,20,160,8
348,84,596,200
224,68,404,308
72,32,308,28
80,36,280,32
56,20,212,12
212,76,472,364
332,92,588,176
48,16,176,16
60,24,224,12
184,60,224,220
76,32,196,20
188,64,288,236
340,84,564,156
68,32,164,16
308,84,572,180
272,72,448,128
60,28,164,8
76,32,196,16
284,72,596,192
240,72,476,328
52,20,192,20
56,24,220,24
244,72,512,152
48,16,176,12
316,80,548,164
212,60,248,232
340,92,524,176
256,76,484,176
196,64,364,360
280,84,512,148
48,16,160,20
348,80,692,132
64,28,224,16
48,12,164,12
240,72,564,132
44,16,192,12
44,8,140,16
288,88,524,148
348,76,568,192
248,72,616,184
232,68,400,468
56,24,232,28
76,36,212,28
64,28,268,24
100,44,228,32
336,88,576,164
56,24,184,8
208,68,332,224
332,100,588,164
76,36,232,28
52,16,180,12
52,16,208,12
52,16,164,12
56,24,232,12
44,8,196,12
200,64,236,200
56,24,180,12
44,12,176,16
72,28,212,28
52,20,148,20
256,76,484,148
48,16,188,4
44,12,172,12
316,80,540,168
412,92,732,136
200,64,292,236
56,20,172,8
60,24,192,20
236,72,540,140
48,20,160,12
280,84,576,216
56,20,180,16
48,12,172,8
184,68,404,360
328,76,508,152
64,24,208,32
52,20,196,8
84,36,248,12
56,24,176,8
52,20,236,16
44,8,144,12
76,32,168,12
204,64,240,204
380,80,528,180
384,88,596,252
364,84,544,188
60,24,200,20
308,84,740,128
284,84,568,184
48,12,172,20
296,76,584,200
216,68,368,372
56,24,164,12
296,84,704,152
376,84,612,184
112,44,232,32
68,28,192,12
64,28,252,12
160,60,300,200
140,60,256,212
340,88,584,188
296,84,556,148
56,20,152,28
48,16,196,24
284,84,572,172
356,92,620,212
280,100,516,180
376,96,596,192
56,20,172,12
288,84,608,192
220,64,276,248
44,8,216,12
176,64,260,172
180,60,512,136
352,84,616,188
52,20,188,8
272,76,472,132
128,48,260,24
332,84,500,164
68,28,168,28
48,20,144,12
104,44,324,24
328,72,544,176
80,36,280,28
108,44,280,24
44,8,100,12
236,84,720,148
76,36,172,24
84,40,244,32
316,80,540,164
100,40,248,32
336,84,596,212
44,12,176,12
320,84,520,172
80,36,228,20
48,16,144,16
412,84,628,204
160,56,256,264
336,80,552,192
276,88,528,160
48,12,180,28
300,68,208,12
324,88,524,164
316,88,620,200
284,76,472,512
68,28,204,16
224,76,468,396
44,8,184,12
200,72,464,368
108,44,176,16
328,104,504,164
364,88,748,132
48,16,148,20
240,72,452,496
56,24,232,16
420,100,540,176
88,36,240,44
192,92,276,232
52,20,188,16
184,64,208,192
48,12,132,16
56,20,196,8
68,32,172,20
68,28,176,24
80,32,176,20
340,80,704,120
156,64,264,224
308,84,580,188
56,20,176,12
280,84,584,132
76,36,200,24
220,76,556,164
56,24,180,12
60,28,204,20
56,24,188,20
300,84,616,164
196,68,536,116
340,80,668,140
64,24,220,20
208,64,256,256
84,36,252,16
284,76,564,172
296,76,588,164
224,76,432,352
