Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
164,64,248,152
56,24,244,16
360,84,600,216
216,68,320,112
224,68,356,68
272,68,476,128
240,72,536,156
60,24,200,16
64,28,196,16
308,80,544,184
336,76,524,168
364,88,776,128
64,28,164,16
172,64,324,216
52,20,216,20
292,84,528,164
256,76,520,164
44,8,188,16
68,28,168,12
160,68,432,436
48,12,188,8
216,68,424,108
56,20,220,8
280,76,568,160
228,68,320,332
300,80,568,196
316,76,540,196
44,8,148,12
44,12,172,16
272,76,628,200
228,88,480,232
44,12,164,12
48,16,160,20
160,60,236,236
152,56,292,56
312,76,576,176
60,28,244,16
284,76,436,688
148,60,256,160
68,28,212,12
164,60,260,196
260,88,548,144
60,28,200,12
44,8,184,12
264,76,416,316
172,64,324,240
344,80,736,116
152,68,468,92
60,28,208,12
316,88,560,176
56,20,212,24
48,16,220,20
44,12,128,12
152,60,216,200
96,40,292,24
248,72,420,344
56,20,168,12
304,84,596,192
264,76,544,168
248,72,448,396
164,64,416,128
272,80,568,184
192,64,284,208
56,24,292,24
180,68,436,412
164,60,276,192
48,16,220,16
152,52,292,92
184,60,260,200
44,12,160,16
56,24,224,20
268,76,492,128
268,72,528,144
348,84,616,212
180,64,296,228
340,76,580,188
48,16,216,16
68,32,220,12
344,80,524,200
384,92,624,236
232,68,512,144
216,72,300,212
336,80,624,204
44,12,168,12
48,12,196,12
280,80,580,184
188,68,504,152
56,20,172,16
56,20,148,12
180,60,312,208
204,64,272,216
196,72,280,208
52,20,140,12
196,60,288,216
60,24,228,24
72,32,168,28
72,32,228,20
192,64,316,220
52,20,176,24
52,20,208,12
44,12,200,12
44,12,180,12
60,24,156,12
188,64,264,240
316,84,568,192
256,80,476,436
256,72,560,168
68,28,256,32
148,56,252,236
332,84,596,180
236,72,584,200
44,12,240,12
52,20,204,24
48,16,192,8
220,68,492,128
48,16,168,24
72,32,256,28
312,72,524,168
236,68,536,112
80,36,336,24
248,72,520,144
288,80,576,180
236,72,388,192
216,72,512,176
52,20,196,20
48,16,168,8
52,20,184,12
216,68,320,304
256,72,536,164
48,20,192,20
88,40,228,32
224,72,504,144
68,28,260,12
60,24,236,32
360,88,600,204
48,12,188,16
284,80,592,168
320,84,588,184
56,20,228,8
272,76,492,180
232,72,508,172
228,80,464,420
172,60,236,188
52,20,220,12
56,24,192,12
288,72,576,192
308,84,572,204
56,20,208,24
384,84,564,228
52,16,144,16
288,80,604,184
60,28,220,16
280,80,584,156
76,32,260,20
64,28,220,20
376,80,564,184
176,60,268,136
280,80,564,152
292,84,556,192
44,16,180,12
224,132,472,444
224,72,540,144
192,60,228,148
76,32,256,28
56,24,232,16
52,24,192,12
64,28,216,16
64,36,256,28
168,60,264,220
60,24,192,8
180,60,316,192
316,80,568,172
116,48,184,36
284,76,520,172
296,76,476,132
252,76,564,152
52,20,144,16
76,32,224,16
48,16,204,12
56,24,156,28
308,88,648,228
52,24,232,16
44,12,212,8
248,76,544,176
288,80,556,164
284,80,536,172
56,24,220,24
308,84,532,164
192,60,280,224
52,16,168,12
296,68,468,160
196,60,264,224
168,64,300,240
44,12,124,8
168,60,288,200
348,80,616,188
72,32,204,12
52,16,184,24
56,24,224,16
48,16,204,24
260,72,488,132
300,80,344,364
188,60,308,260
44,12,120,12
228,68,532,148
256,80,572,228
52,20,248,12
60,24,100,16
60,24,256,28
172,64,276,236
276,80,560,196
52,20,172,12
284,80,568,176
48,16,176,16
276,80,592,164
76,36,240,28
324,84,540,156
60,28,220,16
100,44,212,32
64,28,176,24
56,24,180,20
212,68,336,348
56,24,172,12
44,8,172,8
76,36,252,24
52,20,188,20
44,8,168,12
64,28,136,24
208,72,424,400
60,24,172,12
68,32,224,16
284,84,608,176
128,52,284,32
220,72,420,312
168,60,256,396
252,80,552,184
352,84,560,192
204,60,276,232
60,28,200,20
48,16,160,12
76,32,188,24
104,44,236,16
48,16,236,24
208,76,512,168
196,64,304,228
332,84,604,208
68,28,256,32
48,16,192,24
308,80,552,192
204,72,452,392
340,80,556,192
152,56,264,208
260,76,544,160
140,56,220,172
48,16,248,24
188,68,512,132
256,80,624,184
220,76,456,420
52,16,236,16
324,76,536,164
176,64,328,320
92,40,256,40
68,28,220,20
264,76,556,160
224,72,448,412
244,72,556,164
72,32,252,20
60,24,252,8
44,8,208,12
276,76,564,180
152,56,248,228
44,8,116,12
224,72,436,372
44,8,220,20
168,72,472,428
52,20,176,8
44,8,176,20
244,88,524,156
208,68,444,348
184,68,444,300
48,16,212,12
48,16,176,20
184,60,232,184
184,60,284,196
76,32,176,32
168,60,280,192
348,84,572,172
48,20,168,4
212,68,444,460
324,80,588,184
52,20,80,8
152,56,236,200
48,16,168,12
272,76,584,176
76,32,204,20
352,84,600,176
156,60,304,256
272,80,544,140
44,12,212,16
196,68,456,136
140,56,328,88
168,60,320,280
320,80,568,168
56,24,144,20
268,80,532,196
308,76,536,180
152,56,224,200
60,28,200,12
288,76,560,180
300,84,576,164
356,84,600,204
316,80,548,184
44,12,152,20
236,72,592,156
44,12,164,12
80,32,240,24
112,48,208,36
272,76,592,176
148,56,268,208
44,8,188,8
192,60,276,228
276,80,536,160
204,64,264,248
188,68,436,348
60,24,204,24
276,76,488,148
184,64,264,176
48,16,228,12
304,80,540,172
180,56,304,212
44,8,192,16
44,12,120,12
48,20,180,16
48,16,236,16
60,24,168,16
372,84,732,100
68,28,232,20
68,32,212,28
64,24,172,16
300,80,460,696
52,20,176,20
60,28,212,24
340,84,524,168
172,64,236,136
200,68,372,320
376,84,604,188
52,20,200,28
304,80,520,152
144,56,252,200
48,12,196,24
220,64,308,280
72,28,220,20
324,84,556,188
136,52,244,56
48,16,184,12
80,36,232,20
48,16,208,16
48,12,168,12
88,40,208,28
276,80,628,196
324,76,496,184
336,84,548,180
56,20,192,16
72,32,172,16
44,8,184,12
164,60,320,272
228,72,500,144
44,8,160,12
248,72,532,168
108,44,272,32
44,8,120,12
284,76,544,160
48,12,176,8
176,68,288,184
260,72,520,148
160,60,296,272
44,12,168,12
44,8,148,16
44,8,160,8
188,64,316,256
184,64,276,212
168,60,252,164
192,68,248,220
260,72,520,172
200,64,284,228
160,60,280,248
288,80,568,176
248,76,540,168
160,60,312,268
272,72,520,160
52,16,160,12
196,64,288,256
264,76,572,172
44,8,184,12
168,60,228,200
44,12,168,12
44,8,216,12
340,80,424,668
188,64,284,220
56,24,192,32
224,68,480,144
180,60,312,260
224,72,484,128
232,68,396,272
48,16,152,16
224,76,308,260
48,16,160,12
176,60,284,228
44,12,148,12
156,60,284,192
208,68,332,308
44,12,200,12
44,12,212,32
52,16,240,28
272,76,552,176
168,60,256,184
264,80,536,172
44,8,132,8
300,76,544,168
284,72,532,148
240,72,528,164
276,80,588,212
48,12,176,4
56,20,196,12
52,20,128,20
304,76,556,180
332,88,596,212
268,76,524,200
320,80,580,188
376,84,608,204
200,64,276,216
52,20,172,20
56,32,200,24
64,28,144,12
336,80,716,108
300,76,476,148
284,72,564,164
44,12,148,8
72,32,184,32
64,28,192,12
84,40,252,32
64,28,224,20
44,16,184,12
48,20,196,12
52,16,204,28
56,24,192,12
364,88,600,184
324,84,580,176
220,68,492,144
60,28,256,12
324,88,588,184
352,80,512,180
48,12,200,20
60,24,188,16
204,64,276,192
52,16,144,8
48,16,228,12
180,64,264,228
292,80,560,148
60,28,252,20
160,60,276,232
56,20,176,16
224,64,424,320
44,8,184,20
44,12,184,16
44,12,136,12
204,68,272,208
192,64,252,184
248,80,528,160
40,8,212,16
348,84,620,192
244,80,460,392
52,20,168,12
56,24,168,16
76,32,196,28
100,44,272,40
184,64,264,216
300,84,704,112
68,32,248,28
72,32,236,24
316,76,604,204
44,16,188,28
44,8,108,12
184,64,272,176
296,80,620,176
184,68,536,144
44,8,176,16
124,48,220,44
336,76,532,176
268,80,588,188
64,28,192,16
92,44,408,0
272,76,568,152
52,20,196,32
60,28,188,24
56,24,260,24
176,60,232,204
180,60,284,244
60,28,192,12
196,64,400,324
44,12,188,20
48,16,136,12
288,76,544,156
196,64,276,292
52,20,180,28
72,32,224,20
68,28,204,20
196,64,236,200
272,72,508,168
44,12,144,12
48,16,200,12
44,8,192,16
252,72,540,188
236,72,576,96
152,56,240,176
372,84,556,196
224,76,424,380
316,80,568,164
292,72,532,156
148,56,356,120
220,64,540,152
48,16,160,12
232,72,600,196
292,84,536,152
64,28,212,8
56,24,184,12
52,20,160,16
444,92,784,136
140,52,336,8
76,32,236,24
48,12,208,12
52,16,184,16
284,76,520,152
116,48,244,16
260,80,616,176
44,16,124,8
48,16,132,12
48,16,152,8
144,56,300,204
284,80,456,408
352,84,600,172
300,80,544,172
152,60,276,208
44,8,148,12
52,24,192,12
168,60,284,264
176,60,280,220
360,84,708,116
56,24,216,16
52,16,184,16
264,76,564,212
368,116,708,132
328,84,568,180
44,8,140,12
148,44,336,0
64,24,248,24
208,68,252,196
184,64,268,220
348,84,704,104
328,76,544,180
52,20,208,24
56,20,168,16
140,56,316,276
152,60,324,240
80,36,260,32
164,60,272,216
344,84,560,172
172,68,428,376
56,20,192,16
48,16,192,16
52,20,188,16
72,32,204,12
48,16,128,8
44,8,192,8
212,64,336,384
64,28,176,20
316,76,556,312
80,36,160,16
308,72,536,148
48,16,176,20
48,16,196,20
44,12,212,12
376,84,624,212
44,12,188,20
296,120,628,256
44,12,164,16
48,12,212,20
344,80,540,180
52,20,164,12
208,64,380,292
100,44,252,36
196,64,256,216
192,64,224,180
56,24,188,12
228,72,428,400
228,72,440,428
168,60,264,168
300,80,540,176
232,72,476,164
52,16,192,16
180,60,220,184
324,84,552,164
76,32,200,12
48,16,132,16
56,24,204,16
108,48,260,40
160,60,260,172
268,76,528,152
44,12,180,8
224,64,256,220
48,16,244,16
56,24,188,16
176,68,260,168
336,84,556,152
336,84,560,160
52,20,228,20
252,72,560,164
80,32,188,28
280,76,524,184
328,88,584,172
332,84,700,132
84,36,276,36
52,20,184,12
56,24,192,24
304,76,544,204
180,60,276,192
204,64,288,244
176,60,248,192
56,20,208,20
264,76,544,176
52,20,196,16
52,20,168,24
48,16,160,12
224,68,404,372
96,40,248,44
232,72,564,144
60,24,136,20
60,24,184,16
180,60,224,208
220,72,500,140
52,20,204,16
364,84,588,188
52,20,216,12
52,20,144,20
324,88,608,200
308,76,548,232
48,16,264,20
60,28,184,32
48,12,140,28
68,28,260,28
328,84,592,180
44,8,184,12
80,36,212,20
264,76,616,156
272,76,464,160
356,84,728,112
48,16,176,12
48,16,172,8
76,32,180,12
60,24,156,4
48,16,176,16
148,56,340,224
156,60,296,220
60,28,220,16
360,88,584,184
188,64,236,188
48,16,168,12
176,64,256,164
44,8,160,8
176,60,292,192
204,64,252,228
272,72,520,156
52,20,180,16
188,60,300,284
160,60,296,244
52,20,180,16
364,84,732,120
56,20,308,0
160,60,268,260
228,68,312,300
76,32,180,24
188,64,276,204
48,20,208,24
52,20,220,16
168,60,272,184
328,88,624,216
64,24,272,16
188,64,316,236
56,24,212,16
56,20,152,16
364,88,644,200
48,16,172,20
88,44,252,36
56,24,196,12
56,24,160,12
48,16,204,12
152,56,304,200
52,20,188,4
296,76,564,200
244,76,532,164
164,64,400,292
196,64,260,252
68,28,200,28
428,84,688,132
116,44,264,24
60,24,160,20
192,64,256,248
60,24,208,20
144,56,272,196
84,36,248,40
44,8,120,12
304,76,520,144
64,28,100,24
212,76,424,356
336,88,616,188
344,80,584,168
320,84,724,128
152,60,264,188
68,28,252,20
48,12,184,16
164,60,292,228
148,56,220,36
336,80,632,188
240,72,308,48
204,64,272,196
64,28,264,24
448,96,460,144
164,60,296,184
220,68,520,132
248,72,540,164
88,40,248,20
96,40,244,32
48,16,208,8
140,64,312,216
48,12,160,12
80,32,256,36
280,72,552,160
332,84,608,168
60,28,236,12
52,20,188,8
352,84,568,192
224,72,532,136
48,12,148,16
184,60,244,192
48,20,144,12
80,36,184,20
196,60,268,200
44,12,164,12
340,84,552,168
252,76,476,116
312,80,740,108
76,32,192,20
412,84,716,128
220,64,316,320
52,20,156,20
292,72,524,152
300,84,572,180
64,28,204,20
44,16,220,12
332,80,568,188
60,24,188,20
44,12,188,24
328,80,612,172
56,20,200,28
292,80,568,160
324,80,564,188
204,68,256,248
196,76,372,124
44,8,184,12
84,36,248,20
172,60,228,188
52,20,164,12
68,28,216,20
300,76,512,180
108,44,296,32
384,80,608,192
56,24,192,24
124,48,196,44
168,60,332,96
264,84,600,180
44,12,188,24
344,80,576,224
