Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
188,68,332,116
328,80,552,180
104,48,352,0
208,68,328,300
48,16,336,100
204,64,244,224
416,92,604,196
132,56,228,216
160,56,276,236
280,76,552,168
276,76,524,192
184,60,260,204
216,64,256,280
80,36,164,20
264,80,768,104
164,60,224,196
276,72,532,188
212,64,268,256
292,76,540,168
224,64,276,288
384,88,584,204
504,92,724,132
80,32,188,16
276,76,544,176
216,68,288,276
196,64,316,264
148,56,276,192
200,64,284,232
428,88,620,228
312,84,548,156
164,60,308,284
196,64,260,192
116,48,232,44
192,60,272,216
296,76,532,168
176,60,208,176
52,20,232,28
44,16,216,12
292,80,552,196
216,64,276,264
140,56,244,212
172,60,260,248
160,60,276,256
164,60,264,180
48,12,200,16
328,84,620,176
44,8,152,12
56,24,208,24
164,60,232,208
204,64,248,240
312,80,700,124
188,60,224,224
268,76,512,172
240,72,548,232
172,64,296,244
208,64,276,228
236,68,336,308
44,12,208,12
56,20,188,16
288,72,500,144
204,64,264,204
340,80,556,160
140,56,288,292
208,68,396,280
208,68,260,236
292,76,528,168
428,96,668,228
156,56,252,176
176,60,256,220
204,64,272,244
204,72,420,368
160,60,276,228
356,84,568,180
160,60,268,260
344,80,548,180
352,84,552,200
308,84,540,180
204,64,292,196
180,60,276,284
152,56,228,196
228,68,328,320
188,68,404,372
184,64,272,220
44,8,132,20
352,80,364,444
228,72,420,320
60,24,156,12
196,68,440,412
220,68,268,228
184,64,276,216
264,72,364,292
164,60,276,232
196,68,276,268
196,64,280,232
44,12,172,8
148,56,248,228
244,72,332,400
356,84,708,112
188,60,248,212
200,64,276,228
236,68,264,208
156,60,272,232
120,48,340,60
44,8,228,0
368,84,528,184
204,64,288,272
204,64,312,316
236,80,444,376
212,68,268,220
384,84,596,172
268,76,560,184
216,68,324,392
44,12,184,8
264,76,600,148
320,76,484,172
216,68,292,292
320,80,584,184
192,64,268,216
196,64,260,212
208,64,296,224
208,64,304,244
