Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
292,76,564,188
140,52,216,172
288,76,444,360
228,72,520,148
296,76,560,188
312,76,564,208
260,76,568,184
308,76,520,148
308,76,516,184
188,60,208,176
156,56,304,236
164,60,320,256
164,60,248,204
320,76,568,192
48,16,136,12
344,80,584,200
176,60,252,288
208,64,244,244
316,80,640,236
192,68,432,460
176,60,276,208
292,76,592,172
308,76,644,240
368,88,616,224
312,76,532,160
56,20,176,20
308,76,524,184
300,80,580,196
136,52,264,40
352,80,556,212
196,68,456,416
252,124,396,612
272,76,532,180
324,76,580,192
152,48,500,4
216,68,308,296
328,84,560,184
280,72,560,184
180,72,452,296
200,64,332,356
232,72,572,192
256,72,488,144
156,60,280,220
328,80,672,116
52,24,144,12
312,80,596,212
380,84,612,216
228,72,420,376
316,76,632,128
196,64,284,288
236,72,612,180
296,76,504,160
372,84,592,228
292,76,504,184
248,72,524,172
100,48,212,152
344,88,568,220
200,64,332,264
324,80,536,188
220,76,444,452
196,64,268,268
192,64,340,288
168,60,264,256
212,68,256,276
372,88,564,188
188,64,292,252
308,76,696,120
268,76,556,224
316,80,604,192
80,36,228,52
184,72,444,236
276,76,476,164
224,68,524,180
292,76,564,176
308,72,508,164
84,36,224,20
236,68,404,360
48,20,124,12
276,80,572,192
208,64,304,332
324,84,544,184
272,76,520,176
328,76,556,196
328,76,516,172
316,84,560,176
316,76,632,120
336,84,584,220
268,76,668,212
156,56,260,264
320,76,524,184
280,76,520,172
276,80,572,192
288,72,636,192
376,80,604,204
348,80,576,212
228,68,312,304
356,84,628,228
96,44,232,36
164,56,280,36
348,84,620,220
352,84,568,212
372,88,652,232
328,84,612,212
272,72,420,348
88,36,204,36
220,72,452,468
328,76,540,184
288,76,540,168
264,72,464,148
172,64,300,324
200,60,280,220
280,88,568,200
304,80,576,220
384,84,620,216
324,84,572,184
292,80,528,152
332,76,496,152
352,84,636,208
80,36,328,0
60,24,152,16
268,72,568,192
324,80,560,324
308,80,600,256
152,56,224,184
48,16,148,8
300,76,532,160
144,56,256,324
48,12,136,12
172,60,208,156
304,84,604,192
64,32,408,48
156,60,228,200
276,72,560,204
360,76,588,196
244,84,556,188
276,72,552,164
300,76,520,172
296,76,560,196
252,76,576,180
260,80,564,224
264,68,520,156
204,64,340,368
228,72,308,296
160,56,284,232
312,76,604,232
320,84,656,224
308,80,552,188
292,76,560,168
356,80,528,192
220,72,404,384
388,80,600,232
232,68,272,276
48,16,188,12
200,64,264,192
188,60,284,224
