Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
204,64,240,268
188,60,256,252
164,60,292,256
192,64,304,288
308,80,612,240
228,68,308,324
216,68,416,496
460,164,564,100
172,60,300,328
196,60,260,232
216,64,264,248
256,76,472,648
276,80,616,212
172,56,248,204
264,76,604,196
216,64,280,232
208,64,296,248
224,64,248,280
316,80,552,168
172,56,280,260
212,64,216,240
248,68,448,404
188,68,268,236
124,56,240,200
212,64,256,232
188,60,308,364
180,64,208,264
152,56,228,204
172,60,256,184
220,64,316,368
176,60,260,260
200,64,316,300
188,64,284,316
204,64,324,236
208,64,248,252
204,60,276,260
164,60,276,348
168,60,240,232
204,60,232,200
196,64,252,260
196,64,232,184
220,68,248,252
48,12,240,0
264,68,436,284
176,60,236,236
204,64,272,248
188,60,320,332
248,76,464,152
148,56,236,176
328,80,612,240
368,96,648,640
112,40,276,0
196,64,280,256
168,60,240,252
200,64,244,216
172,60,284,216
188,64,276,260
196,64,292,320
208,64,252,300
172,64,276,324
204,64,264,228
268,72,336,328
156,60,240,232
180,60,296,260
244,68,332,332
232,68,276,296
184,64,232,256
208,64,296,276
148,60,284,232
192,64,276,268
220,64,284,312
192,64,252,224
188,64,300,344
228,72,420,356
192,60,232,212
192,68,276,244
196,60,196,228
204,64,256,216
168,60,268,248
184,64,268,280
244,72,552,188
160,60,300,280
152,60,220,244
188,60,284,176
192,68,448,472
212,68,324,276
376,84,596,192
184,64,220,156
180,60,304,308
168,60,256,220
168,60,256,204
208,64,332,380
200,64,232,196
200,64,268,280
188,60,252,280
208,68,304,308
232,64,260,184
172,60,220,228
208,64,316,384
220,68,292,340
204,64,264,296
188,64,232,220
192,64,288,324
208,64,300,280
176,60,300,344
180,64,220,236
236,72,548,176
160,60,276,228
188,64,292,260
204,68,256,228
200,64,268,316
208,64,268,304
212,64,224,224
168,60,216,184
212,64,228,232
156,60,252,168
200,60,224,288
192,64,280,296
268,76,544,176
344,76,596,196
164,60,292,264
256,76,424,320
212,64,284,300
292,76,576,200
336,84,576,176
152,60,304,232
180,60,276,312
208,68,448,616
192,64,252,236
168,60,292,344
216,68,296,344
196,64,280,264
196,64,236,252
300,76,576,160
180,60,248,208
172,60,304,284
216,64,236,176
72,48,516,4
184,60,252,192
304,76,628,224
200,64,220,232
256,76,560,192
184,60,272,312
188,64,288,304
220,68,280,256
188,60,232,240
164,56,232,200
192,60,236,216
188,64,256,288
160,64,308,248
296,84,660,240
212,64,280,236
168,60,332,308
44,12,176,0
176,60,296,244
168,60,216,184
332,76,632,232
192,64,288,340
236,68,524,164
44,12,176,0
180,60,244,236
232,68,284,280
248,76,608,204
188,60,240,224
168,64,464,232
216,64,292,320
204,64,260,256
188,64,420,368
188,60,252,216
240,68,312,360
200,64,296,288
184,60,272,252
172,60,268,256
188,64,276,272
188,68,336,316
64,36,204,4
172,56,244,220
220,64,300,336
228,68,340,348
160,56,284,248
200,64,300,248
232,68,328,336
204,64,252,288
168,60,240,196
196,68,296,228
268,84,632,256
180,60,256,300
180,68,296,268
192,64,276,332
176,60,220,224
228,68,252,308
148,56,252,172
212,64,244,248
172,60,248,212
168,60,280,244
84,32,240,0
164,60,236,264
164,60,256,284
200,64,232,244
204,64,264,272
184,64,324,316
216,68,280,228
268,76,512,176
216,68,276,276
200,64,244,244
192,60,256,232
188,60,272,220
192,64,316,288
204,64,244,256
192,64,264,256
204,60,268,248
212,68,264,272
208,64,256,256
372,92,656,320
204,64,308,312
172,64,176,184
216,68,228,292
240,80,416,476
176,60,296,228
216,68,304,284
100,56,320,96
196,64,252,252
208,64,228,256
208,68,276,316
208,64,284,248
204,64,228,228
168,60,276,308
172,60,216,240
236,68,460,644
160,60,260,252
232,68,292,224
176,68,448,592
168,60,264,308
216,68,312,312
180,60,216,228
252,80,460,540
308,76,520,168
192,64,268,244
180,64,316,244
228,68,268,284
208,64,304,344
144,56,208,180
196,64,340,344
328,80,600,220
216,64,432,384
176,60,256,220
184,64,252,208
212,64,268,248
332,84,584,220
164,56,272,196
284,84,640,224
204,64,288,332
248,76,448,572
208,64,300,304
200,60,248,236
168,60,192,192
228,64,232,224
164,60,288,264
184,60,272,300
192,64,232,192
200,64,248,244
208,68,308,280
168,60,240,212
204,64,248,248
184,64,264,288
204,64,256,252
224,64,312,268
200,64,284,292
172,60,300,316
200,72,572,176
220,64,288,228
180,64,268,180
184,60,304,288
216,64,284,260
208,64,276,320
184,64,248,248
232,68,316,324
200,64,272,228
160,60,240,204
208,60,244,208
200,64,288,296
188,64,248,224
344,84,628,208
148,56,252,192
232,68,276,244
288,76,536,176
208,68,240,240
204,64,284,252
232,68,308,340
196,64,260,252
216,64,212,236
220,64,280,300
168,60,284,248
204,64,276,252
248,72,452,476
356,80,568,192
280,80,596,180
220,68,436,396
200,64,300,256
160,56,292,220
184,60,264,240
212,64,228,196
296,76,624,212
212,64,280,204
208,64,332,312
208,64,220,204
216,68,276,284
220,64,276,312
216,68,276,276
188,60,232,172
176,60,256,264
200,64,224,160
208,68,284,224
164,60,312,300
192,64,272,248
296,72,388,524
156,56,220,192
184,60,284,276
212,64,284,336
188,60,268,256
308,84,640,212
192,64,268,228
180,64,300,268
220,68,268,300
180,64,232,208
192,60,248,196
164,60,240,200
344,88,624,196
344,84,616,188
176,60,280,312
176,60,256,284
168,60,324,344
204,64,304,268
124,72,368,112
196,64,312,272
220,64,256,312
164,60,248,208
220,64,256,280
152,56,180,204
232,68,300,236
180,60,256,208
192,64,300,284
212,64,328,292
292,84,648,256
200,64,252,276
184,64,256,252
172,56,272,308
216,64,288,284
180,60,244,220
208,64,332,316
176,60,300,244
328,84,584,212
136,52,180,152
180,60,256,196
160,56,264,264
216,68,256,260
188,60,260,208
212,64,244,236
192,68,268,272
168,60,272,200
220,68,260,284
248,68,376,428
180,60,200,216
276,84,580,204
188,60,268,256
196,64,280,268
204,64,252,256
176,72,240,260
192,68,268,276
208,64,268,296
192,64,276,228
212,64,260,292
156,56,280,260
220,68,256,272
176,60,308,260
176,60,272,260
356,84,488,908
208,64,260,304
168,64,304,300
148,56,256,224
216,64,216,220
184,60,288,248
256,68,308,372
244,68,352,428
216,64,280,272
228,68,216,284
208,64,272,244
272,76,624,208
172,60,224,192
168,60,240,224
212,64,236,212
168,60,272,284
192,64,260,276
200,64,248,256
156,56,236,212
200,64,316,328
208,64,308,328
164,60,236,236
180,60,304,264
204,64,260,224
180,60,256,212
168,56,272,272
212,68,296,244
184,64,328,296
188,64,236,252
208,64,300,348
148,60,268,236
176,60,300,360
164,56,316,264
172,60,268,272
292,72,692,60
180,60,248,232
192,64,252,212
192,64,216,160
176,64,280,268
168,60,300,260
204,64,260,232
216,64,296,272
192,56,396,4
188,60,260,236
188,64,220,236
148,56,232,192
192,60,268,228
164,56,236,228
164,60,336,284
168,60,240,220
172,64,436,460
244,72,420,444
184,64,264,284
188,60,232,260
192,60,284,272
176,60,264,212
148,64,260,320
200,64,268,216
156,56,228,200
100,36,260,4
264,72,480,156
224,64,260,212
200,64,252,228
184,60,220,236
188,60,324,328
172,52,344,0
192,60,224,208
164,56,220,184
196,64,340,392
324,76,584,208
172,60,220,256
200,64,300,264
160,60,256,256
172,60,256,256
176,60,216,260
172,60,300,220
152,72,296,192
228,56,420,0
188,64,236,200
216,64,276,236
196,64,264,276
348,84,620,216
184,60,216,216
168,60,296,296
188,64,260,200
188,64,268,284
300,80,604,204
168,64,236,252
200,64,272,224
180,60,284,308
232,68,240,248
236,68,328,356
180,60,208,196
216,64,236,224
176,60,296,292
192,64,288,288
172,60,264,268
208,64,276,308
200,64,232,188
344,84,648,212
212,68,284,316
180,56,256,212
104,36,448,0
264,80,548,176
196,64,264,324
172,60,260,276
204,64,276,300
180,60,240,292
232,68,296,300
164,56,260,188
208,64,252,284
228,68,304,316
204,60,300,364
204,68,324,340
184,60,288,316
208,64,320,328
220,64,280,228
196,64,296,224
192,64,304,248
212,68,284,344
300,80,612,224
208,64,260,260
208,64,296,268
228,68,436,420
212,64,248,252
212,68,280,260
144,56,256,200
236,68,276,328
212,64,260,268
172,60,196,204
176,60,272,256
236,72,452,288
176,60,300,236
160,60,232,188
172,60,196,180
172,60,200,184
172,56,180,172
188,64,264,272
208,64,268,228
208,64,232,224
156,56,252,228
188,60,204,196
204,64,268,284
152,56,228,192
148,52,224,168
180,60,268,208
164,60,256,232
172,60,244,244
188,64,280,284
316,80,612,196
160,56,264,248
48,12,160,0
168,60,212,308
180,64,276,264
172,60,232,212
188,64,264,220
192,64,284,252
200,64,252,320
192,64,312,300
192,52,372,0
216,64,280,252
168,60,260,268
212,64,280,248
252,80,596,196
188,64,300,332
176,60,344,356
236,68,316,348
176,60,312,280
64,24,204,0
184,60,280,336
228,68,272,268
176,60,276,268
236,72,436,512
200,64,252,256
172,60,248,208
188,60,272,204
204,68,240,228
204,64,300,272
164,60,308,268
176,56,180,172
196,60,316,292
184,64,328,320
212,64,240,252
164,60,248,200
196,64,280,284
172,56,268,292
192,60,300,328
180,60,292,284
212,64,296,280
216,64,264,296
220,68,264,272
172,60,236,212
200,60,264,200
216,68,288,296
168,56,272,240
184,64,280,336
176,60,272,272
224,68,272,272
196,60,284,236
208,64,296,276
276,76,584,208
200,64,232,260
192,64,272,200
180,64,292,248
276,76,480,152
160,60,224,184
216,64,236,244
208,64,292,348
96,40,280,0
164,68,316,268
220,64,220,212
168,60,268,280
172,56,196,248
44,8,228,0
212,64,252,256
200,64,240,296
196,60,224,220
196,64,276,224
392,88,632,228
264,84,596,188
180,60,208,212
204,68,440,380
180,60,216,208
232,68,304,344
200,64,280,236
240,68,280,284
176,68,292,292
76,32,236,0
200,64,228,232
204,64,304,268
208,68,252,240
108,88,268,4
172,60,328,260
184,64,336,364
200,64,320,328
48,12,180,0
