Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal,,,,,,,,,,,,,,,,,,,,,,Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
336,88,648,216,,,,,,,,,,,,,,,,,,,,,,336,88,648,216
324,80,604,188,,,,,,,,,,,,,,,,,,,,,,324,80,604,188
44,8,148,8,,,,,,,,,,,,,,,,,,,,,,44,8,148,8
384,84,596,220,,,,,,,,,,,,,,,,,,,,,,384,84,596,220
216,80,416,396,,,,,,,,,,,,,,,,,,,,,,216,80,416,396
244,72,536,148,,,,,,,,,,,,,,,,,,,,,,244,72,536,148
48,12,192,16,,,,,,,,,,,,,,,,,,,,,,48,12,192,16
200,64,292,356,,,,,,,,,,,,,,,,,,,,,,200,64,292,356
308,80,608,200,,,,,,,,,,,,,,,,,,,,,,308,80,608,200
44,8,228,12,,,,,,,,,,,,,,,,,,,,,,44,8,228,12
360,80,596,180,,,,,,,,,,,,,,,,,,,,,,360,80,596,180
348,80,572,164,,,,,,,,,,,,,,,,,,,,,,348,80,572,164
360,80,600,220,,,,,,,,,,,,,,,,,,,,,,360,80,600,220
360,80,572,200,,,,,,,,,,,,,,,,,,,,,,360,80,572,200
332,80,600,204,,,,,,,,,,,,,,,,,,,,,,332,80,600,204
296,76,576,180,,,,,,,,,,,,,,,,,,,,,,296,76,576,180
328,84,620,200,,,,,,,,,,,,,,,,,,,,,,328,84,620,200
44,12,116,12,,,,,,,,,,,,,,,,,,,,,,44,12,116,12
52,20,164,28,,,,,,,,,,,,,,,,,,,,,,52,20,164,28
404,84,608,204,,,,,,,,,,,,,,,,,,,,,,404,84,608,204
356,84,568,196,,,,,,,,,,,,,,,,,,,,,,356,84,568,196
360,88,600,184,,,,,,,,,,,,,,,,,,,,,,360,88,600,184
52,20,232,24,,,,,,,,,,,,,,,,,,,,,,52,20,232,24
272,76,636,180,,,,,,,,,,,,,,,,,,,,,,272,76,636,180
324,88,644,216,,,,,,,,,,,,,,,,,,,,,,324,88,644,216
340,84,652,220,,,,,,,,,,,,,,,,,,,,,,340,84,652,220
52,24,176,16,,,,,,,,,,,,,,,,,,,,,,52,24,176,16
252,72,552,156,,,,,,,,,,,,,,,,,,,,,,252,72,552,156
176,64,268,220,,,,,,,,,,,,,,,,,,,,,,176,64,268,220
340,84,600,208,,,,,,,,,,,,,,,,,,,,,,340,84,600,208
280,76,548,192,,,,,,,,,,,,,,,,,,,,,,280,76,548,192
104,56,272,32,,,,,,,,,,,,,,,,,,,,,,104,56,272,32
208,68,268,292,,,,,,,,,,,,,,,,,,,,,,208,68,268,292
80,32,260,16,,,,,,,,,,,,,,,,,,,,,,80,32,260,16
308,76,564,204,,,,,,,,,,,,,,,,,,,,,,308,76,564,204
44,12,152,20,,,,,,,,,,,,,,,,,,,,,,44,12,152,20
48,16,248,12,,,,,,,,,,,,,,,,,,,,,,48,16,248,12
296,72,484,140,,,,,,,,,,,,,,,,,,,,,,296,72,484,140
52,20,224,20,,,,,,,,,,,,,,,,,,,,,,52,20,224,20
52,24,216,24,,,,,,,,,,,,,,,,,,,,,,52,24,216,24
320,76,572,168,,,,,,,,,,,,,,,,,,,,,,320,76,572,168
280,80,580,176,,,,,,,,,,,,,,,,,,,,,,280,80,580,176
316,76,612,156,,,,,,,,,,,,,,,,,,,,,,316,76,612,156
48,16,172,16,,,,,,,,,,,,,,,,,,,,,,48,16,172,16
84,36,240,36,,,,,,,,,,,,,,,,,,,,,,84,36,240,36
104,44,244,28,,,,,,,,,,,,,,,,,,,,,,104,44,244,28
60,28,204,20,,,,,,,,,,,,,,,,,,,,,,60,28,204,20
44,12,196,20,,,,,,,,,,,,,,,,,,,,,,44,12,196,20
332,80,548,180,,,,,,,,,,,,,,,,,,,,,,332,80,548,180
56,24,200,24,,,,,,,,,,,,,,,,,,,,,,56,24,200,24
264,88,520,144,,,,,,,,,,,,,,,,,,,,,,264,88,520,144
60,24,192,20,,,,,,,,,,,,,,,,,,,,,,60,24,192,20
384,80,556,220,,,,,,,,,,,,,,,,,,,,,,384,80,556,220
368,80,580,272,,,,,,,,,,,,,,,,,,,,,,368,80,580,272
296,80,568,172,,,,,,,,,,,,,,,,,,,,,,296,80,568,172
192,64,276,264,,,,,,,,,,,,,,,,,,,,,,192,64,276,264
68,28,240,32,,,,,,,,,,,,,,,,,,,,,,68,28,240,32
60,20,216,12,,,,,,,,,,,,,,,,,,,,,,60,20,216,12
188,64,296,340,,,,,,,,,,,,,,,,,,,,,,188,64,296,340
156,56,272,240,,,,,,,,,,,,,,,,,,,,,,156,56,272,240
392,76,520,160,,,,,,,,,,,,,,,,,,,,,,392,76,520,160
240,84,580,160,,,,,,,,,,,,,,,,,,,,,,240,84,580,160
312,84,576,180,,,,,,,,,,,,,,,,,,,,,,312,84,576,180
288,76,564,140,,,,,,,,,,,,,,,,,,,,,,288,76,564,140
60,40,316,84,,,,,,,,,,,,,,,,,,,,,,60,40,316,84
340,76,564,180,,,,,,,,,,,,,,,,,,,,,,340,76,564,180
56,20,192,16,,,,,,,,,,,,,,,,,,,,,,56,20,192,16
404,84,624,204,,,,,,,,,,,,,,,,,,,,,,404,84,624,204
348,80,576,196,,,,,,,,,,,,,,,,,,,,,,348,80,576,196
204,76,440,348,,,,,,,,,,,,,,,,,,,,,,204,76,440,348
340,84,612,180,,,,,,,,,,,,,,,,,,,,,,340,84,612,180
340,80,588,180,,,,,,,,,,,,,,,,,,,,,,340,80,588,180
344,80,552,192,,,,,,,,,,,,,,,,,,,,,,344,80,552,192
44,12,92,12,,,,,,,,,,,,,,,,,,,,,,44,12,92,12
308,76,560,164,,,,,,,,,,,,,,,,,,,,,,308,76,560,164
44,12,172,4,,,,,,,,,,,,,,,,,,,,,,44,12,172,4
188,68,312,288,,,,,,,,,,,,,,,,,,,,,,188,68,312,288
284,76,624,180,,,,,,,,,,,,,,,,,,,,,,284,76,624,180
348,84,636,204,,,,,,,,,,,,,,,,,,,,,,348,84,636,204
284,80,580,208,,,,,,,,,,,,,,,,,,,,,,284,80,580,208
56,24,200,12,,,,,,,,,,,,,,,,,,,,,,56,24,200,12
200,72,460,520,,,,,,,,,,,,,,,,,,,,,,200,72,460,520
324,80,560,220,,,,,,,,,,,,,,,,,,,,,,324,80,560,220
108,48,248,24,,,,,,,,,,,,,,,,,,,,,,108,48,248,24
292,80,608,164,,,,,,,,,,,,,,,,,,,,,,292,80,608,164
180,60,240,256,,,,,,,,,,,,,,,,,,,,,,180,60,240,256
316,80,600,196,,,,,,,,,,,,,,,,,,,,,,316,80,600,196
152,64,440,336,,,,,,,,,,,,,,,,,,,,,,152,64,440,336
260,72,584,184,,,,,,,,,,,,,,,,,,,,,,260,72,584,184
60,24,188,16,,,,,,,,,,,,,,,,,,,,,,60,24,188,16
52,20,272,16,,,,,,,,,,,,,,,,,,,,,,52,20,272,16
52,20,160,24,,,,,,,,,,,,,,,,,,,,,,52,20,160,24
212,64,264,220,,,,,,,,,,,,,,,,,,,,,,212,64,264,220
400,96,624,200,,,,,,,,,,,,,,,,,,,,,,400,96,624,200
384,80,560,204,,,,,,,,,,,,,,,,,,,,,,384,80,560,204
52,16,136,20,,,,,,,,,,,,,,,,,,,,,,52,16,136,20
348,80,628,216,,,,,,,,,,,,,,,,,,,,,,348,80,628,216
292,76,520,188,,,,,,,,,,,,,,,,,,,,,,292,76,520,188
320,84,568,192,,,,,,,,,,,,,,,,,,,,,,320,84,568,192
64,28,252,20,,,,,,,,,,,,,,,,,,,,,,64,28,252,20
336,80,636,188,,,,,,,,,,,,,,,,,,,,,,336,80,636,188
404,84,640,244,,,,,,,,,,,,,,,,,,,,,,404,84,640,244
48,12,172,12,,,,,,,,,,,,,,,,,,,,,,48,12,172,12
216,68,344,320,,,,,,,,,,,,,,,,,,,,,,216,68,344,320
296,76,612,200,,,,,,,,,,,,,,,,,,,,,,296,76,612,200
44,12,176,12,,,,,,,,,,,,,,,,,,,,,,44,12,176,12
356,84,596,212,,,,,,,,,,,,,,,,,,,,,,356,84,596,212
440,88,616,196,,,,,,,,,,,,,,,,,,,,,,440,88,616,196
52,20,220,16,,,,,,,,,,,,,,,,,,,,,,52,20,220,16
144,52,256,32,,,,,,,,,,,,,,,,,,,,,,144,52,256,32
64,28,216,28,,,,,,,,,,,,,,,,,,,,,,64,28,216,28
268,76,536,192,,,,,,,,,,,,,,,,,,,,,,268,76,536,192
268,76,596,200,,,,,,,,,,,,,,,,,,,,,,268,76,596,200
316,80,552,184,,,,,,,,,,,,,,,,,,,,,,316,80,552,184
52,20,132,12,,,,,,,,,,,,,,,,,,,,,,52,20,132,12
240,72,324,364,,,,,,,,,,,,,,,,,,,,,,240,72,324,364
64,28,200,24,,,,,,,,,,,,,,,,,,,,,,64,28,200,24
336,84,568,168,,,,,,,,,,,,,,,,,,,,,,336,84,568,168
300,76,572,200,,,,,,,,,,,,,,,,,,,,,,300,76,572,200
288,84,540,148,,,,,,,,,,,,,,,,,,,,,,288,84,540,148
64,28,232,16,,,,,,,,,,,,,,,,,,,,,,64,28,232,16
168,60,304,220,,,,,,,,,,,,,,,,,,,,,,168,60,304,220
368,80,544,204,,,,,,,,,,,,,,,,,,,,,,368,80,544,204
180,64,328,332,,,,,,,,,,,,,,,,,,,,,,180,64,328,332
372,84,608,200,,,,,,,,,,,,,,,,,,,,,,372,84,608,200
48,16,124,8,,,,,,,,,,,,,,,,,,,,,,48,16,124,8
336,84,656,196,,,,,,,,,,,,,,,,,,,,,,336,84,656,196
252,72,540,168,,,,,,,,,,,,,,,,,,,,,,252,72,540,168
104,44,252,48,,,,,,,,,,,,,,,,,,,,,,104,44,252,48
116,48,340,52,,,,,,,,,,,,,,,,,,,,,,116,48,340,52
284,88,588,184,,,,,,,,,,,,,,,,,,,,,,284,88,588,184
316,80,576,180,,,,,,,,,,,,,,,,,,,,,,316,80,576,180
292,88,624,168,,,,,,,,,,,,,,,,,,,,,,292,88,624,168
164,56,248,60,,,,,,,,,,,,,,,,,,,,,,164,56,248,60
256,72,528,164,,,,,,,,,,,,,,,,,,,,,,256,72,528,164
188,76,432,384,,,,,,,,,,,,,,,,,,,,,,188,76,432,384
64,28,220,20,,,,,,,,,,,,,,,,,,,,,,64,28,220,20
48,12,164,12,,,,,,,,,,,,,,,,,,,,,,48,12,164,12
324,80,628,236,,,,,,,,,,,,,,,,,,,,,,324,80,628,236
48,36,260,4,,,,,,,,,,,,,,,,,,,,,,48,36,260,4
336,80,588,192,,,,,,,,,,,,,,,,,,,,,,336,80,588,192
48,16,144,12,,,,,,,,,,,,,,,,,,,,,,48,16,144,12
336,84,604,188,,,,,,,,,,,,,,,,,,,,,,336,84,604,188
84,36,248,44,,,,,,,,,,,,,,,,,,,,,,84,36,248,44
364,84,604,204,,,,,,,,,,,,,,,,,,,,,,364,84,604,204
352,84,592,196,,,,,,,,,,,,,,,,,,,,,,352,84,592,196
224,76,504,176,,,,,,,,,,,,,,,,,,,,,,224,76,504,176
44,8,148,12,,,,,,,,,,,,,,,,,,,,,,44,8,148,12
308,80,668,324,,,,,,,,,,,,,,,,,,,,,,308,80,668,324
260,76,560,156,,,,,,,,,,,,,,,,,,,,,,260,76,560,156
48,16,168,28,,,,,,,,,,,,,,,,,,,,,,48,16,168,28
236,72,416,332,,,,,,,,,,,,,,,,,,,,,,236,72,416,332
376,84,616,216,,,,,,,,,,,,,,,,,,,,,,376,84,616,216
340,84,552,212,,,,,,,,,,,,,,,,,,,,,,340,84,552,212
356,76,544,180,,,,,,,,,,,,,,,,,,,,,,356,76,544,180
60,28,192,16,,,,,,,,,,,,,,,,,,,,,,60,28,192,16
328,80,644,204,,,,,,,,,,,,,,,,,,,,,,328,80,644,204
180,64,484,468,,,,,,,,,,,,,,,,,,,,,,180,64,484,468
196,64,300,276,,,,,,,,,,,,,,,,,,,,,,196,64,300,276
108,44,184,24,,,,,,,,,,,,,,,,,,,,,,108,44,184,24
56,24,212,8,,,,,,,,,,,,,,,,,,,,,,56,24,212,8
264,80,528,152,,,,,,,,,,,,,,,,,,,,,,264,80,528,152
308,80,624,228,,,,,,,,,,,,,,,,,,,,,,308,80,624,228
324,80,584,208,,,,,,,,,,,,,,,,,,,,,,324,80,584,208
276,76,516,148,,,,,,,,,,,,,,,,,,,,,,276,76,516,148
248,68,520,156,,,,,,,,,,,,,,,,,,,,,,248,68,520,156
284,72,552,196,,,,,,,,,,,,,,,,,,,,,,284,72,552,196
48,16,216,24,,,,,,,,,,,,,,,,,,,,,,48,16,216,24
184,68,232,192,,,,,,,,,,,,,,,,,,,,,,184,68,232,192
388,84,620,196,,,,,,,,,,,,,,,,,,,,,,388,84,620,196
48,16,184,16,,,,,,,,,,,,,,,,,,,,,,48,16,184,16
348,80,628,216,,,,,,,,,,,,,,,,,,,,,,348,80,628,216
296,84,556,148,,,,,,,,,,,,,,,,,,,,,,296,84,556,148
44,12,224,12,,,,,,,,,,,,,,,,,,,,,,44,12,224,12
48,20,220,24,,,,,,,,,,,,,,,,,,,,,,48,20,220,24
336,84,624,212,,,,,,,,,,,,,,,,,,,,,,336,84,624,212
52,20,196,28,,,,,,,,,,,,,,,,,,,,,,52,20,196,28
340,84,556,184,,,,,,,,,,,,,,,,,,,,,,340,84,556,184
68,28,228,32,,,,,,,,,,,,,,,,,,,,,,68,28,228,32
472,88,572,200,,,,,,,,,,,,,,,,,,,,,,472,88,572,200
352,84,564,244,,,,,,,,,,,,,,,,,,,,,,352,84,564,244
244,68,256,60,,,,,,,,,,,,,,,,,,,,,,244,68,256,60
320,80,608,216,,,,,,,,,,,,,,,,,,,,,,320,80,608,216
392,88,640,252,,,,,,,,,,,,,,,,,,,,,,392,88,640,252
136,60,252,228,,,,,,,,,,,,,,,,,,,,,,136,60,252,228
148,56,288,224,,,,,,,,,,,,,,,,,,,,,,148,56,288,224
284,76,616,208,,,,,,,,,,,,,,,,,,,,,,284,76,616,208
304,76,592,200,,,,,,,,,,,,,,,,,,,,,,304,76,592,200
48,12,148,8,,,,,,,,,,,,,,,,,,,,,,48,12,148,8
304,80,712,120,,,,,,,,,,,,,,,,,,,,,,304,80,712,120
352,80,572,168,,,,,,,,,,,,,,,,,,,,,,352,80,572,168
204,68,296,340,,,,,,,,,,,,,,,,,,,,,,204,68,296,340
136,56,244,28,,,,,,,,,,,,,,,,,,,,,,136,56,244,28
316,88,584,188,,,,,,,,,,,,,,,,,,,,,,316,88,584,188
300,76,588,200,,,,,,,,,,,,,,,,,,,,,,300,76,588,200
52,20,192,20,,,,,,,,,,,,,,,,,,,,,,52,20,192,20
328,84,528,156,,,,,,,,,,,,,,,,,,,,,,328,84,528,156
256,84,532,144,,,,,,,,,,,,,,,,,,,,,,256,84,532,144
316,84,528,176,,,,,,,,,,,,,,,,,,,,,,316,84,528,176
324,84,620,188,,,,,,,,,,,,,,,,,,,,,,324,84,620,188
48,20,220,20,,,,,,,,,,,,,,,,,,,,,,48,20,220,20
220,68,428,400,,,,,,,,,,,,,,,,,,,,,,220,68,428,400
412,84,360,108,,,,,,,,,,,,,,,,,,,,,,412,84,360,108
324,76,612,184,,,,,,,,,,,,,,,,,,,,,,324,76,612,184
344,76,588,192,,,,,,,,,,,,,,,,,,,,,,344,76,588,192
300,76,544,176,,,,,,,,,,,,,,,,,,,,,,300,76,544,176
356,84,608,220,,,,,,,,,,,,,,,,,,,,,,356,84,608,220
432,88,584,232,,,,,,,,,,,,,,,,,,,,,,432,88,584,232
124,48,264,32,,,,,,,,,,,,,,,,,,,,,,124,48,264,32
52,20,164,8,,,,,,,,,,,,,,,,,,,,,,52,20,164,8
288,80,560,196,,,,,,,,,,,,,,,,,,,,,,288,80,560,196
52,24,168,24,,,,,,,,,,,,,,,,,,,,,,52,24,168,24
336,84,584,220,,,,,,,,,,,,,,,,,,,,,,336,84,584,220
220,68,296,352,,,,,,,,,,,,,,,,,,,,,,220,68,296,352
216,76,456,352,,,,,,,,,,,,,,,,,,,,,,216,76,456,352
80,36,252,32,,,,,,,,,,,,,,,,,,,,,,80,36,252,32
176,60,272,292,,,,,,,,,,,,,,,,,,,,,,176,60,272,292
272,76,504,164,,,,,,,,,,,,,,,,,,,,,,272,76,504,164
56,24,224,28,,,,,,,,,,,,,,,,,,,,,,56,24,224,28
344,84,588,192,,,,,,,,,,,,,,,,,,,,,,344,84,588,192
112,48,256,44,,,,,,,,,,,,,,,,,,,,,,112,48,256,44
368,84,628,216,,,,,,,,,,,,,,,,,,,,,,368,84,628,216
336,84,592,280,,,,,,,,,,,,,,,,,,,,,,336,84,592,280
328,80,584,196,,,,,,,,,,,,,,,,,,,,,,328,80,584,196
344,88,588,196,,,,,,,,,,,,,,,,,,,,,,344,88,588,196
336,84,660,216,,,,,,,,,,,,,,,,,,,,,,336,84,660,216
52,20,208,32,,,,,,,,,,,,,,,,,,,,,,52,20,208,32
364,88,648,168,,,,,,,,,,,,,,,,,,,,,,364,88,648,168
368,84,580,208,,,,,,,,,,,,,,,,,,,,,,368,84,580,208
332,80,588,196,,,,,,,,,,,,,,,,,,,,,,332,80,588,196
368,84,632,188,,,,,,,,,,,,,,,,,,,,,,368,84,632,188
212,64,280,280,,,,,,,,,,,,,,,,,,,,,,212,64,280,280
52,20,212,16,,,,,,,,,,,,,,,,,,,,,,52,20,212,16
52,20,208,16,,,,,,,,,,,,,,,,,,,,,,52,20,208,16
384,84,648,200,,,,,,,,,,,,,,,,,,,,,,384,84,648,200
48,12,208,20,,,,,,,,,,,,,,,,,,,,,,48,12,208,20
356,84,592,172,,,,,,,,,,,,,,,,,,,,,,356,84,592,172
336,84,544,168,,,,,,,,,,,,,,,,,,,,,,336,84,544,168
224,76,464,268,,,,,,,,,,,,,,,,,,,,,,224,76,464,268
44,12,204,20,,,,,,,,,,,,,,,,,,,,,,44,12,204,20
192,64,272,300,,,,,,,,,,,,,,,,,,,,,,192,64,272,300
172,76,456,456,,,,,,,,,,,,,,,,,,,,,,172,76,456,456
316,72,508,180,,,,,,,,,,,,,,,,,,,,,,316,72,508,180
300,76,540,192,,,,,,,,,,,,,,,,,,,,,,300,76,540,192
44,12,220,24,,,,,,,,,,,,,,,,,,,,,,44,12,220,24
48,12,204,12,,,,,,,,,,,,,,,,,,,,,,48,12,204,12
396,84,612,204,,,,,,,,,,,,,,,,,,,,,,396,84,612,204
60,24,236,28,,,,,,,,,,,,,,,,,,,,,,60,24,236,28
300,76,528,144,,,,,,,,,,,,,,,,,,,,,,300,76,528,144
96,40,248,28,,,,,,,,,,,,,,,,,,,,,,96,40,248,28
292,76,536,168,,,,,,,,,,,,,,,,,,,,,,292,76,536,168
320,76,556,200,,,,,,,,,,,,,,,,,,,,,,320,76,556,200
44,12,176,16,,,,,,,,,,,,,,,,,,,,,,44,12,176,16
176,60,320,352,,,,,,,,,,,,,,,,,,,,,,176,60,320,352
76,32,180,20,,,,,,,,,,,,,,,,,,,,,,76,32,180,20
356,76,492,180,,,,,,,,,,,,,,,,,,,,,,356,76,492,180
228,68,312,308,,,,,,,,,,,,,,,,,,,,,,228,68,312,308
296,72,592,188,,,,,,,,,,,,,,,,,,,,,,296,72,592,188
356,76,524,192,,,,,,,,,,,,,,,,,,,,,,356,76,524,192
208,64,324,256,,,,,,,,,,,,,,,,,,,,,,208,64,324,256
56,20,196,20,,,,,,,,,,,,,,,,,,,,,,56,20,196,20
280,76,556,164,,,,,,,,,,,,,,,,,,,,,,280,76,556,164
56,24,216,16,,,,,,,,,,,,,,,,,,,,,,56,24,216,16
352,80,600,216,,,,,,,,,,,,,,,,,,,,,,352,80,600,216
212,68,376,312,,,,,,,,,,,,,,,,,,,,,,212,68,376,312
144,60,276,224,,,,,,,,,,,,,,,,,,,,,,144,60,276,224
48,20,192,12,,,,,,,,,,,,,,,,,,,,,,48,20,192,12
320,80,588,172,,,,,,,,,,,,,,,,,,,,,,320,80,588,172
208,72,408,416,,,,,,,,,,,,,,,,,,,,,,208,72,408,416
52,20,192,32,,,,,,,,,,,,,,,,,,,,,,52,20,192,32
388,88,604,244,,,,,,,,,,,,,,,,,,,,,,388,88,604,244
316,80,500,152,,,,,,,,,,,,,,,,,,,,,,316,80,500,152
212,64,292,296,,,,,,,,,,,,,,,,,,,,,,212,64,292,296
308,84,548,168,,,,,,,,,,,,,,,,,,,,,,308,84,548,168
348,80,600,184,,,,,,,,,,,,,,,,,,,,,,348,80,600,184
52,20,184,16,,,,,,,,,,,,,,,,,,,,,,52,20,184,16
296,72,572,184,,,,,,,,,,,,,,,,,,,,,,296,72,572,184
52,20,172,16,,,,,,,,,,,,,,,,,,,,,,52,20,172,16
60,28,208,16,,,,,,,,,,,,,,,,,,,,,,60,28,208,16
324,80,548,168,,,,,,,,,,,,,,,,,,,,,,324,80,548,168
284,80,636,204,,,,,,,,,,,,,,,,,,,,,,284,80,636,204
304,76,568,184,,,,,,,,,,,,,,,,,,,,,,304,76,568,184
52,20,228,12,,,,,,,,,,,,,,,,,,,,,,52,20,228,12
88,40,280,36,,,,,,,,,,,,,,,,,,,,,,88,40,280,36
56,24,160,16,,,,,,,,,,,,,,,,,,,,,,56,24,160,16
204,72,424,408,,,,,,,,,,,,,,,,,,,,,,204,72,424,408
344,80,616,232,,,,,,,,,,,,,,,,,,,,,,344,80,616,232
256,76,536,172,,,,,,,,,,,,,,,,,,,,,,256,76,536,172
64,24,156,24,,,,,,,,,,,,,,,,,,,,,,64,24,156,24
288,80,568,160,,,,,,,,,,,,,,,,,,,,,,288,80,568,160
44,8,172,16,,,,,,,,,,,,,,,,,,,,,,44,8,172,16
76,36,212,20,,,,,,,,,,,,,,,,,,,,,,76,36,212,20
48,16,200,16,,,,,,,,,,,,,,,,,,,,,,48,16,200,16
340,80,576,188,,,,,,,,,,,,,,,,,,,,,,340,80,576,188
356,84,552,164,,,,,,,,,,,,,,,,,,,,,,356,84,552,164
368,84,648,252,,,,,,,,,,,,,,,,,,,,,,368,84,648,252
64,28,220,24,,,,,,,,,,,,,,,,,,,,,,64,28,220,24
68,28,252,24,,,,,,,,,,,,,,,,,,,,,,68,28,252,24
292,84,648,168,,,,,,,,,,,,,,,,,,,,,,292,84,648,168
64,28,244,20,,,,,,,,,,,,,,,,,,,,,,64,28,244,20
364,84,580,216,,,,,,,,,,,,,,,,,,,,,,364,84,580,216
348,84,568,188,,,,,,,,,,,,,,,,,,,,,,348,84,568,188
264,84,592,148,,,,,,,,,,,,,,,,,,,,,,264,84,592,148
60,24,240,20,,,,,,,,,,,,,,,,,,,,,,60,24,240,20
56,24,196,16,,,,,,,,,,,,,,,,,,,,,,56,24,196,16
332,84,640,224,,,,,,,,,,,,,,,,,,,,,,332,84,640,224
340,80,592,196,,,,,,,,,,,,,,,,,,,,,,340,80,592,196
308,76,584,184,,,,,,,,,,,,,,,,,,,,,,308,76,584,184
352,84,632,224,,,,,,,,,,,,,,,,,,,,,,352,84,632,224
48,16,132,20,,,,,,,,,,,,,,,,,,,,,,48,16,132,20
56,20,192,16,,,,,,,,,,,,,,,,,,,,,,56,20,192,16
260,72,564,200,,,,,,,,,,,,,,,,,,,,,,260,72,564,200
48,16,196,12,,,,,,,,,,,,,,,,,,,,,,48,16,196,12
200,68,564,168,,,,,,,,,,,,,,,,,,,,,,200,68,564,168
300,88,632,164,,,,,,,,,,,,,,,,,,,,,,300,88,632,164
244,84,572,152,,,,,,,,,,,,,,,,,,,,,,244,84,572,152
340,84,624,248,,,,,,,,,,,,,,,,,,,,,,340,84,624,248
100,44,240,20,,,,,,,,,,,,,,,,,,,,,,100,44,240,20
332,80,592,180,,,,,,,,,,,,,,,,,,,,,,332,80,592,180
332,80,560,256,,,,,,,,,,,,,,,,,,,,,,332,80,560,256
336,88,620,192,,,,,,,,,,,,,,,,,,,,,,336,88,620,192
348,80,596,204,,,,,,,,,,,,,,,,,,,,,,348,80,596,204
404,92,648,220,,,,,,,,,,,,,,,,,,,,,,404,92,648,220
364,84,568,184,,,,,,,,,,,,,,,,,,,,,,364,84,568,184
64,28,236,20,,,,,,,,,,,,,,,,,,,,,,64,28,236,20
48,20,192,28,,,,,,,,,,,,,,,,,,,,,,48,20,192,28
88,36,256,44,,,,,,,,,,,,,,,,,,,,,,88,36,256,44
320,84,544,196,,,,,,,,,,,,,,,,,,,,,,320,84,544,196
504,104,692,316,,,,,,,,,,,,,,,,,,,,,,504,104,692,316
348,80,624,220,,,,,,,,,,,,,,,,,,,,,,348,80,624,220
276,76,544,188,,,,,,,,,,,,,,,,,,,,,,276,76,544,188
332,76,568,204,,,,,,,,,,,,,,,,,,,,,,332,76,568,204
348,80,528,180,,,,,,,,,,,,,,,,,,,,,,348,80,528,180
88,36,256,28,,,,,,,,,,,,,,,,,,,,,,88,36,256,28
332,80,628,184,,,,,,,,,,,,,,,,,,,,,,332,80,628,184
428,88,548,184,,,,,,,,,,,,,,,,,,,,,,428,88,548,184
52,20,200,20,,,,,,,,,,,,,,,,,,,,,,52,20,200,20
276,80,600,196,,,,,,,,,,,,,,,,,,,,,,276,80,600,196
44,12,188,20,,,,,,,,,,,,,,,,,,,,,,44,12,188,20
112,44,296,24,,,,,,,,,,,,,,,,,,,,,,112,44,296,24
324,84,568,200,,,,,,,,,,,,,,,,,,,,,,324,84,568,200
228,68,528,168,,,,,,,,,,,,,,,,,,,,,,228,68,528,168
348,84,604,200,,,,,,,,,,,,,,,,,,,,,,348,84,604,200
320,84,624,204,,,,,,,,,,,,,,,,,,,,,,320,84,624,204
40,8,164,12,,,,,,,,,,,,,,,,,,,,,,40,8,164,12
168,76,404,332,,,,,,,,,,,,,,,,,,,,,,168,76,404,332
388,84,648,248,,,,,,,,,,,,,,,,,,,,,,388,84,648,248
96,40,200,28,,,,,,,,,,,,,,,,,,,,,,96,40,200,28
304,76,560,204,,,,,,,,,,,,,,,,,,,,,,304,76,560,204
92,40,216,24,,,,,,,,,,,,,,,,,,,,,,92,40,216,24
196,68,428,376,,,,,,,,,,,,,,,,,,,,,,196,68,428,376
52,20,252,24,,,,,,,,,,,,,,,,,,,,,,52,20,252,24
336,80,624,196,,,,,,,,,,,,,,,,,,,,,,336,80,624,196
84,40,292,24,,,,,,,,,,,,,,,,,,,,,,84,40,292,24
168,60,252,296,,,,,,,,,,,,,,,,,,,,,,168,60,252,296
272,72,532,156,,,,,,,,,,,,,,,,,,,,,,272,72,532,156
356,84,604,204,,,,,,,,,,,,,,,,,,,,,,356,84,604,204
92,40,276,40,,,,,,,,,,,,,,,,,,,,,,92,40,276,40
44,12,176,12,,,,,,,,,,,,,,,,,,,,,,44,12,176,12
60,24,184,12,,,,,,,,,,,,,,,,,,,,,,60,24,184,12
300,76,600,208,,,,,,,,,,,,,,,,,,,,,,300,76,600,208
240,72,436,384,,,,,,,,,,,,,,,,,,,,,,240,72,436,384
192,68,356,428,,,,,,,,,,,,,,,,,,,,,,192,68,356,428
96,40,276,28,,,,,,,,,,,,,,,,,,,,,,96,40,276,28
352,80,584,204,,,,,,,,,,,,,,,,,,,,,,352,80,584,204
224,72,440,444,,,,,,,,,,,,,,,,,,,,,,224,72,440,444
200,72,464,384,,,,,,,,,,,,,,,,,,,,,,200,72,464,384
224,88,432,228,,,,,,,,,,,,,,,,,,,,,,224,88,432,228
48,16,248,24,,,,,,,,,,,,,,,,,,,,,,48,16,248,24
284,76,596,180,,,,,,,,,,,,,,,,,,,,,,284,76,596,180
320,80,568,180,,,,,,,,,,,,,,,,,,,,,,320,80,568,180
152,60,256,52,,,,,,,,,,,,,,,,,,,,,,152,60,256,52
276,76,568,172,,,,,,,,,,,,,,,,,,,,,,276,76,568,172
292,80,636,184,,,,,,,,,,,,,,,,,,,,,,292,80,636,184
44,8,148,20,,,,,,,,,,,,,,,,,,,,,,44,8,148,20
