Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal,,,,,,,,,,,,,,,,,,,,,,Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
44,12,128,12,,,,,,,,,,,,,,,,,,,,,,44,12,128,12
360,84,600,228,,,,,,,,,,,,,,,,,,,,,,360,84,600,228
56,24,180,28,,,,,,,,,,,,,,,,,,,,,,56,24,180,28
100,40,228,28,,,,,,,,,,,,,,,,,,,,,,100,40,228,28
64,24,184,20,,,,,,,,,,,,,,,,,,,,,,64,24,184,20
228,76,556,184,,,,,,,,,,,,,,,,,,,,,,228,76,556,184
296,80,608,188,,,,,,,,,,,,,,,,,,,,,,296,80,608,188
336,84,580,212,,,,,,,,,,,,,,,,,,,,,,336,84,580,212
352,84,660,200,,,,,,,,,,,,,,,,,,,,,,352,84,660,200
48,16,168,20,,,,,,,,,,,,,,,,,,,,,,48,16,168,20
64,28,224,24,,,,,,,,,,,,,,,,,,,,,,64,28,224,24
148,56,280,60,,,,,,,,,,,,,,,,,,,,,,148,56,280,60
292,80,640,248,,,,,,,,,,,,,,,,,,,,,,292,80,640,248
48,16,176,24,,,,,,,,,,,,,,,,,,,,,,48,16,176,24
52,20,216,12,,,,,,,,,,,,,,,,,,,,,,52,20,216,12
52,20,200,16,,,,,,,,,,,,,,,,,,,,,,52,20,200,16
356,84,584,192,,,,,,,,,,,,,,,,,,,,,,356,84,584,192
348,84,608,196,,,,,,,,,,,,,,,,,,,,,,348,84,608,196
340,76,516,172,,,,,,,,,,,,,,,,,,,,,,340,76,516,172
300,80,572,172,,,,,,,,,,,,,,,,,,,,,,300,80,572,172
164,56,296,56,,,,,,,,,,,,,,,,,,,,,,164,56,296,56
56,20,136,16,,,,,,,,,,,,,,,,,,,,,,56,20,136,16
44,12,188,12,,,,,,,,,,,,,,,,,,,,,,44,12,188,12
244,80,448,408,,,,,,,,,,,,,,,,,,,,,,244,80,448,408
56,24,240,20,,,,,,,,,,,,,,,,,,,,,,56,24,240,20
364,80,588,224,,,,,,,,,,,,,,,,,,,,,,364,80,588,224
44,12,156,12,,,,,,,,,,,,,,,,,,,,,,44,12,156,12
72,32,284,24,,,,,,,,,,,,,,,,,,,,,,72,32,284,24
312,76,540,220,,,,,,,,,,,,,,,,,,,,,,312,76,540,220
