Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
84,36,280,20
52,20,212,32
64,32,168,28
68,32,208,12
116,48,300,24
48,16,196,12
288,80,540,160
308,96,600,192
224,80,428,392
204,68,276,248
48,16,212,8
176,60,256,212
76,32,232,24
164,60,284,220
80,36,224,12
240,72,576,148
60,24,188,28
344,88,572,164
96,40,208,32
64,28,272,20
84,36,208,16
68,32,188,32
168,60,240,228
380,88,416,124
44,12,116,16
64,28,228,12
296,76,600,160
348,76,412,132
60,24,176,16
312,88,580,188
48,16,196,24
48,12,196,20
240,76,564,148
80,36,212,16
44,8,156,12
48,12,116,12
52,16,192,12
52,16,192,12
80,36,176,24
56,24,184,12
44,12,184,12
68,32,228,12
44,12,132,12
48,16,188,12
48,16,184,12
44,8,160,20
80,36,188,28
172,64,284,236
48,16,212,16
84,36,204,24
84,40,180,12
260,68,492,160
92,40,240,28
208,68,524,120
92,36,172,20
48,16,160,16
284,72,520,148
60,24,196,12
192,60,300,280
364,84,544,180
112,48,252,44
204,68,272,244
56,20,192,12
72,32,156,20
76,32,160,16
56,24,236,16
368,80,592,192
40,8,156,12
308,80,544,180
72,32,224,12
76,32,192,24
276,76,520,148
48,16,96,12
56,24,308,28
76,36,148,12
188,64,280,296
48,16,184,8
68,28,184,32
72,32,168,20
256,72,564,144
244,76,460,448
84,36,244,16
324,84,568,176
296,80,584,168
44,8,168,4
196,88,416,344
260,72,548,144
52,16,192,12
292,76,516,172
252,76,560,152
84,36,212,28
56,20,216,12
44,8,116,12
88,40,196,20
48,16,196,12
52,16,160,8
180,60,268,256
204,64,280,248
48,12,140,20
156,56,284,256
304,80,508,148
64,32,164,16
56,24,128,12
44,12,148,16
48,16,176,12
172,84,408,4
304,80,584,216
328,80,632,204
84,36,244,20
224,72,388,424
196,60,208,204
44,12,228,16
56,20,188,12
52,20,136,12
48,16,140,20
212,64,320,272
44,12,184,16
68,28,192,16
56,24,240,20
56,20,172,12
48,12,160,4
204,72,516,144
44,8,144,12
228,72,540,172
48,16,140,16
48,16,216,12
228,72,560,156
44,12,168,20
252,80,576,172
260,76,496,132
272,80,580,136
312,76,544,164
432,88,540,196
268,80,556,160
196,64,288,240
300,76,564,184
420,88,740,136
44,8,192,12
60,24,184,16
52,24,156,16
292,84,536,148
52,20,220,8
48,12,224,8
48,12,124,12
60,24,176,20
188,64,300,300
60,28,172,32
192,64,296,328
48,20,176,20
300,88,604,192
260,84,556,156
304,88,540,152
160,60,296,280
56,20,204,12
84,36,232,16
64,28,168,28
44,8,156,12
252,72,532,176
56,20,176,12
184,64,280,212
52,20,160,12
44,8,120,12
332,88,568,168
44,8,200,12
184,64,256,264
44,8,184,16
44,12,192,20
72,32,216,28
212,64,324,240
124,52,220,36
52,20,180,12
84,36,180,16
56,24,132,20
60,24,188,12
220,72,524,152
44,8,136,12
272,84,556,164
48,16,160,12
316,88,532,152
268,68,492,152
188,64,300,228
48,16,144,12
264,72,464,120
68,28,188,16
160,60,248,212
172,64,280,324
232,80,408,376
212,72,508,144
260,72,332,68
56,20,172,12
48,16,184,20
52,20,172,12
48,12,124,16
212,64,268,256
72,32,212,32
64,28,268,20
44,8,212,24
208,68,220,224
76,32,192,24
276,88,540,152
72,32,224,24
240,76,572,144
184,68,460,420
340,76,548,180
96,40,204,20
224,76,556,156
44,8,144,16
44,12,160,16
48,16,176,12
248,80,480,544
112,44,244,40
48,16,244,8
56,24,164,12
64,28,184,20
52,16,168,12
268,80,588,184
288,84,580,164
304,96,520,140
268,72,516,144
60,28,188,44
52,20,172,12
264,80,412,140
344,96,504,152
120,48,304,36
44,12,144,12
84,36,248,36
44,12,168,36
276,76,516,148
180,64,244,220
64,28,152,20
180,60,244,192
56,24,236,20
88,40,200,16
44,8,196,16
80,36,228,28
232,80,512,160
288,84,528,140
44,8,176,12
44,8,156,12
76,36,220,12
56,20,252,16
256,72,512,172
208,68,340,300
48,16,160,24
56,20,156,20
48,16,244,16
84,36,160,20
100,44,204,20
264,72,448,420
68,32,156,16
48,16,192,12
60,24,172,20
56,24,200,32
188,64,264,248
172,60,300,236
208,64,320,292
64,24,200,32
304,92,524,168
64,24,200,12
296,76,556,140
44,8,80,12
292,80,540,160
92,40,216,20
56,24,132,24
60,28,160,16
76,36,216,12
188,60,236,212
56,20,168,20
52,16,196,20
200,64,240,276
80,32,220,16
60,28,192,24
72,32,248,24
48,16,152,12
60,24,220,24
316,88,528,160
44,8,204,24
52,20,176,12
240,72,508,148
184,64,260,216
300,84,568,192
256,80,536,168
44,12,176,12
180,64,280,264
72,32,244,24
60,24,196,24
84,36,176,32
328,80,572,172
192,68,328,300
92,40,284,12
268,76,552,140
44,8,124,32
404,88,728,144
248,72,420,432
180,64,404,476
44,8,116,8
88,40,248,16
132,52,260,32
228,72,516,156
48,16,152,32
100,44,228,36
232,68,576,176
48,16,152,16
296,76,500,140
60,28,152,28
56,24,232,20
68,28,160,12
48,16,144,16
56,24,188,20
96,40,336,24
72,28,236,16
120,48,216,28
232,72,500,140
180,68,552,152
204,64,276,244
188,64,344,100
252,80,588,176
300,92,496,192
64,28,184,20
272,100,540,140
156,60,304,240
48,20,168,16
60,24,200,24
336,92,560,180
52,20,172,16
232,76,508,136
224,80,528,148
332,80,596,196
148,56,324,256
308,80,504,152
184,68,452,104
48,12,128,24
60,24,144,12
108,48,272,28
368,84,604,216
296,76,504,144
296,84,564,172
212,72,456,428
124,48,216,24
180,68,256,256
252,72,520,140
152,60,256,276
180,60,264,236
200,64,232,212
320,76,596,160
224,76,540,164
220,68,312,284
48,16,168,12
272,72,508,140
268,180,560,724
324,80,572,188
68,28,232,24
44,8,140,12
48,12,156,16
236,64,520,160
60,24,136,16
68,28,276,20
68,28,268,28
200,68,324,204
144,56,256,192
48,12,184,12
252,72,492,136
292,76,532,172
56,24,176,28
352,80,596,196
360,80,560,204
52,16,168,4
44,12,124,8
48,12,140,4
204,64,260,284
60,28,192,16
48,32,208,16
240,76,544,160
64,24,184,16
184,64,288,248
276,72,548,180
152,56,280,216
200,64,216,168
332,84,508,164
224,64,296,284
68,28,184,16
104,44,240,28
296,76,524,184
72,28,212,28
364,88,576,188
328,80,600,180
180,64,256,52
56,20,128,20
152,60,244,216
60,24,176,12
48,16,212,8
176,68,448,368
80,36,212,24
96,44,232,24
52,20,152,16
56,24,208,20
60,24,180,16
52,20,184,12
52,16,152,24
88,40,204,20
44,16,156,12
52,20,160,12
56,20,164,24
48,16,204,16
168,64,312,312
124,48,228,44
100,44,232,36
200,64,296,228
48,12,116,8
272,68,504,152
44,8,148,4
48,16,132,12
240,72,556,176
72,32,268,20
216,72,516,140
300,76,596,196
44,8,128,16
200,68,504,144
284,76,564,156
212,72,444,436
76,32,200,28
60,24,204,16
44,12,144,32
292,76,496,164
48,20,160,12
72,32,176,16
292,76,584,188
248,80,460,352
56,24,188,12
48,16,132,12
60,28,188,16
340,84,536,176
56,24,196,12
72,32,180,16
196,76,288,256
52,20,192,28
60,24,172,16
188,60,264,68
44,12,144,12
184,64,300,252
264,76,544,160
52,20,156,12
52,20,128,16
216,64,240,232
204,68,320,368
72,28,192,24
324,80,592,176
76,36,200,16
48,16,164,12
52,20,200,12
104,48,236,24
220,68,468,144
228,76,436,436
192,68,528,144
60,28,200,20
80,36,224,28
44,12,180,12
280,76,564,172
332,84,496,160
52,20,160,16
56,20,192,20
44,8,188,12
312,76,452,140
300,72,496,144
192,60,248,208
48,16,140,16
44,12,180,16
208,64,280,228
52,20,172,12
56,20,144,16
392,84,556,200
344,84,524,164
260,88,480,136
60,24,188,8
60,24,160,24
64,28,216,16
168,60,288,308
288,68,424,344
352,104,508,172
52,24,164,20
52,16,180,12
268,84,624,172
72,32,216,36
160,68,472,432
160,60,276,232
172,60,232,168
328,80,516,168
52,16,224,12
52,16,176,36
52,16,176,16
64,28,228,36
68,28,196,28
92,40,304,24
60,24,168,20
64,28,184,16
48,16,152,20
52,20,176,20
272,80,556,140
52,20,160,16
44,8,124,20
48,16,152,12
256,84,428,400
48,16,200,12
44,8,200,16
236,68,308,316
48,20,140,12
68,32,228,12
48,12,176,24
44,8,136,12
44,8,164,12
224,68,528,140
68,28,164,24
56,20,184,12
192,64,268,220
220,72,420,368
260,76,428,420
44,8,192,12
280,68,416,608
64,28,176,12
48,16,144,8
60,28,188,16
48,16,168,12
76,32,236,24
236,72,556,144
244,80,428,136
232,76,544,152
56,24,160,16
292,76,520,156
316,80,560,188
248,72,548,148
52,20,224,20
68,32,160,12
56,24,168,16
196,64,284,268
76,32,168,28
140,60,212,184
48,16,216,8
64,28,176,20
248,76,588,224
48,16,156,8
52,20,164,12
60,28,192,16
68,32,216,16
216,84,464,132
68,28,228,20
372,92,472,156
308,84,532,156
52,16,232,16
236,76,504,156
92,40,248,24
184,64,272,244
232,76,452,432
48,16,200,20
52,20,180,16
48,16,148,24
52,20,180,16
168,60,260,216
68,32,212,36
192,64,328,240
292,80,564,180
60,24,120,32
56,20,196,16
44,8,204,12
112,48,232,36
280,72,176,4
228,68,532,148
272,72,496,160
56,20,232,16
64,24,256,24
72,32,232,20
48,16,208,16
56,24,164,20
48,12,212,16
44,16,168,28
180,68,276,276
340,76,532,176
196,76,492,140
208,72,568,152
128,56,260,280
64,28,192,20
48,20,112,4
248,68,504,192
48,16,164,12
260,76,528,152
184,60,216,196
76,36,188,20
100,44,196,32
100,40,268,32
364,84,544,184
68,28,144,28
160,60,312,320
308,84,584,168
108,44,264,24
252,80,496,144
52,20,144,16
192,60,312,208
60,24,124,12
280,76,560,160
184,64,220,200
212,64,276,260
44,8,144,12
100,44,268,28
48,16,244,16
48,16,200,12
216,72,428,324
68,32,248,28
124,48,236,28
60,24,208,44
44,8,140,8
144,60,256,280
52,20,188,12
244,72,552,164
220,68,428,336
276,80,560,156
180,60,296,236
60,24,192,12
44,8,128,12
316,80,588,176
256,80,504,136
80,36,180,40
64,28,220,24
48,16,132,20
352,80,568,212
212,72,500,124
220,68,332,348
84,36,168,16
60,28,164,16
248,72,496,152
44,12,144,16
60,28,136,28
124,48,260,24
48,16,160,20
60,24,180,12
192,72,440,432
60,24,208,24
188,60,360,80
232,76,480,488
236,68,440,384
108,44,280,20
48,12,200,16
40,8,160,16
280,88,488,132
112,48,256,24
48,16,112,24
60,28,180,12
64,28,168,16
52,20,140,12
100,44,204,24
48,16,168,16
60,24,200,16
56,20,172,12
52,20,152,16
272,76,448,492
228,84,496,132
44,12,184,16
48,12,208,20
44,8,172,8
352,96,540,164
56,20,164,12
48,16,220,12
320,80,520,160
52,20,112,16
260,84,500,136
296,88,564,160
136,56,288,60
272,72,560,168
52,20,172,12
56,24,160,8
56,20,188,12
52,20,156,20
220,64,312,312
56,24,176,12
280,84,536,152
68,32,188,12
112,44,252,36
48,16,192,16
260,76,560,180
288,76,508,140
52,16,208,16
212,68,372,108
220,76,488,140
236,76,476,472
164,60,304,248
72,32,188,24
268,68,560,132
60,24,164,16
176,64,272,224
256,76,512,164
68,28,204,20
48,16,176,24
180,64,312,280
52,20,200,12
212,80,584,124
52,20,236,20
76,36,168,16
60,24,264,12
244,68,452,116
416,72,308,20
176,60,288,272
120,48,284,24
68,28,220,12
52,20,200,16
284,84,576,192
76,36,176,36
184,64,296,404
56,24,184,16
188,64,328,312
44,8,196,12
72,32,224,44
184,64,260,184
56,24,148,8
192,64,472,132
328,92,564,144
260,72,520,144
288,80,604,180
72,32,256,44
212,68,296,276
212,64,248,236
72,32,168,24
52,20,164,16
220,68,500,128
176,60,288,224
44,12,192,12
168,60,260,216
64,28,240,32
396,96,548,392
192,64,256,236
60,28,192,16
188,60,296,44
272,80,492,124
204,64,300,252
52,20,176,16
204,64,264,44
208,64,260,212
68,32,192,16
52,20,168,16
60,24,172,12
60,24,160,32
56,24,112,16
52,16,144,12
196,64,240,208
128,56,348,96
52,20,160,16
44,8,144,4
72,28,220,12
284,72,548,192
84,36,220,32
308,84,524,148
52,20,220,12
224,76,528,128
48,16,168,16
48,16,112,20
132,52,260,28
48,16,152,16
56,20,140,28
44,12,168,20
64,28,196,12
92,40,260,36
328,84,528,156
44,8,164,12
56,24,176,12
164,56,272,244
64,28,144,16
48,16,160,12
60,24,208,12
184,60,236,212
56,24,220,12
304,84,588,180
48,16,188,8
152,52,320,40
64,28,88,28
316,92,540,152
256,76,532,164
52,20,212,16
248,92,552,144
60,24,196,16
64,28,204,20
216,68,524,176
204,64,288,244
180,64,320,276
188,60,204,168
48,16,116,12
188,64,320,328
48,16,188,12
52,20,180,16
44,8,116,12
60,24,184,12
168,60,288,272
48,16,172,20
208,68,284,256
280,84,536,152
44,12,204,8
48,16,176,8
72,32,160,24
244,72,568,148
204,64,308,248
44,12,152,12
44,8,148,8
200,68,240,252
52,16,160,12
64,68,288,112
196,64,280,220
72,36,172,20
44,12,176,12
64,28,260,20
56,24,184,24
284,72,472,136
52,20,152,24
308,80,564,156
192,68,436,368
72,32,220,32
76,36,192,16
72,32,228,16
44,8,156,20
44,12,168,12
88,40,264,48
164,60,284,272
152,56,304,300
48,12,132,24
324,88,584,204
164,60,256,248
64,28,180,28
44,8,200,12
200,64,264,240
132,52,328,40
296,84,564,164
156,64,264,188
252,80,484,144
228,88,476,532
200,88,520,176
48,16,160,8
44,8,180,16
60,24,200,28
56,20,120,16
228,72,508,148
64,24,188,16
212,84,528,128
68,40,220,36
276,76,576,148
60,24,184,12
56,24,120,8
44,8,112,12
184,64,396,404
224,72,536,152
48,12,144,20
56,24,204,24
72,32,212,24
76,32,232,36
64,28,200,20
44,8,168,12
64,28,176,20
216,72,516,128
60,24,212,24
252,72,444,136
320,76,676,132
52,20,208,16
48,16,188,24
224,64,320,308
48,16,160,16
