Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
276,72,532,160
248,76,408,320
200,68,408,368
360,80,528,172
280,72,488,148
60,24,184,16
272,92,496,56
84,36,280,28
52,20,232,20
52,20,156,12
100,120,716,8
288,76,496,164
316,80,536,200
268,76,508,144
56,20,180,16
56,24,168,16
304,76,572,188
320,76,544,184
260,76,480,176
232,76,492,160
248,76,540,168
44,16,128,20
256,76,548,192
276,72,524,180
268,72,476,152
72,32,236,32
328,80,516,168
44,8,184,28
252,76,432,436
308,84,544,172
60,28,252,28
344,76,544,204
76,32,228,28
276,72,508,160
248,72,528,180
68,32,172,28
48,16,196,12
292,84,520,184
208,64,444,144
200,64,308,236
316,76,524,216
172,64,228,220
312,80,576,188
96,44,208,36
72,32,204,20
304,80,536,172
336,76,516,164
60,28,220,0
292,76,516,148
172,68,272,196
64,28,236,24
84,40,240,16
300,76,484,184
180,64,276,252
272,80,536,160
264,80,552,160
252,72,496,148
340,80,556,200
72,32,268,20
68,32,200,20
296,76,464,156
68,28,236,20
140,56,244,224
300,80,540,156
56,24,168,4
248,72,500,136
48,16,136,12
44,12,168,16
48,16,220,20
44,12,156,4
316,76,516,172
292,72,520,192
72,32,216,16
44,8,148,24
264,72,504,152
104,52,424,0
180,60,296,228
164,64,308,132
44,8,228,16
288,80,520,184
308,76,524,164
296,76,552,148
88,40,200,36
288,80,524,176
268,76,524,196
248,72,364,84
216,64,276,204
44,8,208,20
348,76,484,164
304,80,532,172
316,76,516,188
288,80,536,176
296,72,512,144
76,36,164,24
48,16,212,28
152,56,224,204
44,16,168,12
296,80,524,180
340,80,544,180
244,72,536,156
56,24,172,12
332,80,520,168
240,68,460,288
196,68,392,336
48,12,144,16
308,76,540,188
212,68,312,284
72,32,196,28
376,84,556,192
160,60,328,356
152,56,208,56
240,64,308,148
268,72,544,168
44,12,152,12
256,72,408,448
48,16,180,24
80,36,240,28
156,56,220,232
92,40,196,36
216,72,508,164
44,12,156,20
336,80,560,184
332,84,540,176
44,12,196,16
108,48,208,20
204,72,460,432
116,44,308,28
68,28,216,32
320,80,528,196
308,80,592,176
56,24,204,12
276,72,572,196
68,32,224,12
240,68,396,504
44,16,176,20
180,60,252,248
184,64,292,232
300,76,556,192
264,72,500,140
96,40,296,48
168,60,288,320
96,40,152,28
240,76,472,144
264,72,484,152
280,76,480,172
236,72,516,180
44,8,216,12
148,56,260,188
56,24,192,20
52,20,196,16
360,80,536,180
88,40,200,24
44,8,192,20
288,76,500,168
260,76,496,136
48,16,164,8
204,68,416,428
268,72,368,96
288,72,520,164
88,48,312,72
332,80,564,176
48,16,144,20
52,16,188,16
60,28,144,12
88,36,216,20
316,76,532,200
336,84,532,164
76,36,188,28
56,24,172,24
212,72,496,140
304,80,540,168
160,60,280,220
304,72,508,172
68,28,152,28
72,32,280,20
192,64,468,144
276,76,556,164
276,80,564,160
56,24,180,20
60,24,188,20
180,60,212,232
264,84,544,192
244,68,488,148
48,12,180,12
216,80,300,208
348,88,600,248
320,76,520,188
296,76,524,164
316,72,508,196
88,40,244,20
256,72,472,152
324,80,560,196
52,20,204,20
44,12,204,12
328,80,544,180
172,64,436,400
244,72,524,144
140,60,424,308
56,20,204,12
52,20,244,12
76,32,232,32
304,80,520,164
228,76,388,372
304,88,580,244
280,72,520,180
212,64,448,136
188,60,288,232
48,12,176,20
204,68,484,148
308,76,520,172
204,68,428,428
220,72,536,164
252,76,548,152
48,16,168,12
324,80,476,160
52,20,184,24
140,60,292,104
316,84,536,160
284,76,556,180
80,36,192,20
364,84,732,144
140,60,300,100
200,64,312,56
48,16,196,16
280,76,548,176
92,40,236,28
184,64,268,208
88,36,280,16
296,80,520,180
60,24,200,28
288,80,520,180
256,72,568,188
244,68,456,136
200,80,416,356
288,72,556,184
284,80,524,192
48,20,216,16
328,76,552,180
68,32,160,20
56,24,216,12
268,72,584,192
216,68,508,176
48,16,204,12
152,60,312,304
272,76,516,184
280,80,488,176
256,72,508,216
220,72,532,172
160,64,464,144
236,84,536,168
304,76,524,192
284,72,564,168
280,76,520,160
252,76,540,176
136,52,296,0
44,8,168,12
288,80,544,200
56,24,192,20
180,64,312,328
320,80,520,192
48,16,160,8
76,32,216,28
212,76,456,328
224,72,472,152
244,80,444,404
220,64,256,172
76,32,244,16
64,32,168,20
284,76,552,172
200,72,412,524
320,88,532,192
68,32,264,32
244,72,460,156
292,76,536,192
188,68,248,232
296,72,520,200
268,76,500,148
232,72,484,196
204,72,488,392
156,56,252,212
240,72,484,136
240,76,544,180
260,76,440,160
48,12,172,16
240,72,500,168
228,76,516,140
252,72,492,136
160,60,308,288
308,76,516,180
216,68,268,276
272,72,540,160
72,28,232,32
48,16,180,16
292,84,520,172
276,76,508,172
108,44,300,44
212,72,416,368
280,84,560,164
252,76,492,152
308,76,656,136
216,68,300,264
228,68,520,172
268,76,516,148
256,72,456,156
48,16,144,8
44,12,216,20
48,16,208,12
196,64,308,300
164,68,512,140
44,12,176,12
288,80,500,164
232,72,452,160
260,76,492,156
48,16,156,12
264,80,508,164
240,72,420,300
232,76,404,384
304,84,504,164
44,8,144,16
220,72,416,320
56,24,192,12
84,36,220,8
56,24,168,24
100,44,276,16
52,20,168,16
72,32,236,28
48,16,200,16
56,20,216,20
48,16,148,12
312,76,532,220
48,16,172,16
68,52,160,4
208,68,516,164
260,80,528,192
268,76,480,156
364,76,560,180
60,28,164,12
76,32,236,12
208,60,280,240
216,72,428,360
56,24,244,20
44,12,140,12
276,80,468,148
252,80,448,904
60,28,212,24
64,24,204,20
68,32,236,20
68,28,220,32
348,80,652,116
324,80,560,160
76,32,200,12
64,24,216,24
300,76,468,132
164,60,248,280
268,76,544,184
80,32,188,16
64,28,200,12
264,80,516,140
56,20,220,12
208,76,444,436
356,80,552,208
64,28,228,16
212,68,304,268
268,76,508,144
252,68,452,164
56,20,188,12
48,12,196,16
44,8,176,12
176,60,308,244
276,76,496,180
44,12,192,28
180,60,308,232
244,72,368,476
304,76,492,160
44,12,196,12
256,80,512,176
104,44,292,32
296,72,504,160
44,12,212,16
300,72,516,184
344,84,512,204
332,84,528,172
64,28,156,8
324,80,496,164
188,64,236,248
220,68,436,132
52,20,192,12
60,24,196,16
48,16,192,20
76,32,256,24
324,84,520,180
68,32,236,20
68,28,248,24
304,76,536,188
236,72,520,188
104,44,284,28
72,32,268,16
48,12,208,32
56,24,268,32
64,28,188,24
44,8,152,20
184,60,340,340
232,72,532,200
52,20,152,24
44,8,152,16
292,76,572,172
52,16,188,12
120,48,300,56
340,80,548,184
264,72,456,140
260,72,532,164
344,84,516,168
240,76,520,152
168,56,288,260
340,84,596,256
216,72,364,324
300,80,536,180
44,12,152,16
280,96,324,196
300,76,436,144
228,68,472,132
64,28,200,16
332,84,576,188
252,72,512,164
52,20,204,24
60,24,260,24
60,24,196,12
264,76,472,160
52,20,156,20
120,48,236,40
160,60,388,376
180,60,288,304
260,72,484,168
192,72,476,120
244,72,436,164
176,60,296,260
292,80,532,172
328,80,528,196
304,80,512,172
244,80,472,164
300,80,556,216
264,76,520,168
56,20,160,8
44,8,140,12
272,72,184,4
64,28,176,24
296,80,544,168
60,28,324,16
112,48,304,48
312,84,568,180
264,72,496,144
52,20,180,12
68,32,168,16
56,24,188,20
144,64,444,192
188,64,296,288
48,16,180,20
72,32,236,16
192,68,452,432
248,96,576,192
332,84,528,220
184,64,308,224
52,20,204,28
280,76,524,160
44,8,168,24
276,80,504,156
48,16,192,12
264,76,628,104
48,16,184,12
312,80,468,172
356,80,500,180
44,12,172,4
80,36,240,24
172,72,480,92
300,76,544,160
316,76,484,176
48,20,148,12
256,68,524,156
56,20,184,20
244,72,492,140
248,72,472,160
148,60,288,224
56,20,112,12
192,72,448,384
344,80,520,180
284,72,436,140
156,64,444,360
200,64,224,148
276,76,520,180
244,72,580,212
44,16,176,16
316,80,536,208
116,48,268,40
184,60,208,176
316,76,496,184
272,80,508,148
208,68,328,244
280,76,564,164
324,76,460,172
232,68,472,140
68,32,172,20
44,12,176,12
52,16,152,12
84,40,236,28
64,28,180,24
52,20,180,12
284,80,504,148
324,80,524,164
288,72,488,172
196,72,432,412
308,88,568,176
268,76,560,172
276,80,492,144
132,52,244,36
44,8,152,4
184,64,260,232
292,84,592,208
44,8,216,8
328,80,552,184
340,84,552,168
224,64,332,48
228,68,428,148
108,44,224,36
48,12,124,20
268,80,540,204
108,48,252,28
104,52,248,96
176,60,304,248
276,80,524,152
68,32,144,28
76,32,256,24
76,36,260,28
44,12,172,8
72,28,248,16
308,84,588,228
60,24,216,32
104,48,296,40
308,88,584,192
76,32,192,20
56,20,176,16
48,12,196,16
212,64,272,256
284,76,528,176
280,80,560,200
64,28,176,24
44,8,160,16
268,88,488,168
224,68,584,172
296,76,504,152
80,36,228,20
272,76,512,188
332,84,548,204
312,84,536,176
336,80,524,208
244,76,512,168
180,60,516,160
268,76,548,156
180,60,244,252
76,32,192,12
192,68,252,180
284,72,536,176
220,64,256,248
48,12,176,8
212,72,492,148
64,28,240,24
332,76,512,172
256,72,476,144
228,68,528,176
332,80,496,168
176,64,340,68
52,24,200,16
160,60,252,232
340,80,512,164
64,28,232,24
88,40,248,44
180,64,252,300
92,40,228,40
44,8,272,16
272,80,504,156
300,76,504,164
276,76,556,200
344,84,564,180
268,80,436,148
280,72,476,160
292,76,524,152
184,64,312,280
44,8,228,12
320,76,468,156
252,72,508,168
296,76,512,160
72,32,220,20
332,80,540,196
44,12,232,28
48,16,176,12
236,76,544,172
44,8,120,12
228,68,528,156
44,8,244,16
56,20,132,16
80,36,232,20
44,12,192,8
76,32,160,16
272,80,372,148
56,24,156,12
96,40,292,20
256,76,396,412
60,24,176,20
56,24,224,16
220,72,424,384
308,84,548,192
292,76,544,160
164,76,380,336
324,76,472,160
56,24,176,12
72,32,228,16
48,16,164,28
344,84,556,196
284,72,468,152
252,72,464,132
180,60,276,212
324,80,548,176
84,36,220,28
112,48,292,24
44,12,160,12
44,12,232,20
56,24,228,20
260,72,476,144
368,80,500,188
292,76,576,224
56,24,120,12
228,68,304,328
52,20,260,16
44,12,236,16
48,16,236,16
204,64,228,288
56,24,236,16
68,32,228,24
52,20,140,12
216,68,512,164
64,28,260,16
288,76,472,168
292,72,496,148
304,76,560,176
44,12,176,12
344,80,564,192
192,68,392,300
180,64,244,232
200,64,456,128
280,76,508,180
288,72,468,148
56,20,212,24
156,60,276,296
48,16,192,12
248,80,552,184
56,24,232,16
96,44,244,28
224,68,264,260
44,8,192,20
232,68,420,380
52,20,224,24
200,68,280,224
92,36,276,20
44,8,152,12
52,24,164,12
312,84,544,188
84,36,220,28
328,80,544,188
56,24,180,12
44,12,152,16
48,16,188,12
60,24,188,12
320,84,492,172
252,72,476,156
44,16,140,20
228,68,524,160
332,84,532,172
68,28,220,20
300,80,540,160
272,76,472,148
356,84,544,208
76,32,196,16
72,32,180,20
44,8,140,12
308,76,492,156
44,8,188,12
308,84,516,172
200,72,432,416
220,64,300,256
172,56,280,232
228,72,488,168
280,76,588,216
48,16,204,28
60,24,192,20
220,68,492,172
52,24,144,20
416,100,468,144
160,60,260,260
312,80,524,180
76,32,260,20
44,8,176,12
64,28,272,44
48,16,220,16
64,28,236,24
44,12,180,16
264,76,572,208
256,72,444,156
316,80,504,168
392,88,628,328
196,68,480,148
284,76,480,156
252,80,536,176
56,20,176,12
48,12,212,16
356,80,568,208
52,20,176,12
56,24,200,20
280,76,508,148
80,36,160,20
260,72,484,140
124,60,268,228
52,20,276,0
44,8,152,12
52,20,168,12
64,24,188,24
256,68,492,148
300,80,536,164
296,84,508,140
72,32,176,24
288,76,488,152
364,80,500,176
256,72,492,152
148,60,220,172
56,24,200,20
268,68,460,160
264,80,540,184
296,76,560,200
52,20,180,12
224,72,472,152
68,28,260,20
104,44,288,32
224,68,452,152
160,60,420,92
228,68,468,132
352,80,556,208
228,68,304,284
340,76,504,188
308,72,488,168
44,12,112,12
68,32,144,16
92,40,232,20
204,76,412,420
48,16,168,24
284,76,508,164
272,76,524,168
296,72,456,144
300,80,508,196
224,68,500,160
332,80,556,216
52,20,200,32
220,76,476,456
192,60,272,96
260,76,520,232
196,68,432,316
56,20,192,12
180,64,244,204
44,8,144,8
296,80,568,224
56,20,192,24
52,20,228,8
168,60,272,172
156,60,276,184
52,20,144,20
276,76,476,160
216,72,472,160
48,16,176,12
52,20,228,32
292,80,476,152
284,76,448,144
52,20,156,20
304,80,548,156
44,8,168,16
148,56,288,264
64,28,252,12
244,72,472,144
48,12,176,20
276,72,456,128
64,28,256,0
48,16,112,12
216,68,496,144
196,64,260,248
52,20,144,16
48,16,172,12
56,24,196,16
44,12,192,12
48,12,192,12
80,32,220,36
76,36,292,28
56,24,176,16
276,76,552,172
48,16,192,4
292,76,516,168
300,76,496,192
108,44,296,36
44,8,160,12
384,88,568,348
204,84,392,292
108,44,272,28
324,76,556,160
56,24,188,20
176,60,280,236
196,68,276,40
268,80,520,152
60,28,212,36
112,48,420,0
344,80,540,212
332,76,504,168
48,16,156,16
280,72,520,164
280,76,468,152
168,64,436,384
64,24,216,24
252,72,500,152
60,24,176,24
268,72,516,168
44,12,204,28
44,8,156,8
44,8,168,16
52,20,188,24
44,8,176,16
288,76,484,160
288,80,544,192
304,72,492,160
52,20,196,8
60,24,248,16
60,28,208,16
80,36,192,24
328,84,480,160
52,20,208,24
64,28,216,28
196,64,256,252
80,36,264,16
52,16,188,12
332,84,564,188
240,80,564,180
252,68,440,344
168,60,300,232
196,64,472,132
52,20,192,24
296,76,524,168
292,72,180,4
264,84,560,196
44,16,144,20
252,72,428,284
296,76,496,160
264,72,492,156
52,20,212,12
56,24,224,24
196,68,428,428
56,24,148,8
60,24,176,16
48,16,188,8
232,72,516,164
296,76,456,136
336,80,556,184
88,36,240,24
48,16,192,16
148,56,260,260
180,60,280,228
244,72,532,260
128,56,292,216
320,80,536,160
312,80,472,168
292,88,532,168
300,76,552,156
56,24,200,12
48,12,184,16
416,92,596,204
52,20,160,16
288,80,572,192
292,80,544,180
76,32,228,16
220,72,492,172
216,68,400,284
228,76,520,184
180,60,232,236
88,40,192,24
284,76,484,132
236,72,504,156
220,72,512,156
284,76,564,208
68,28,232,28
356,88,724,144
44,8,208,20
48,20,188,28
252,76,520,168
140,64,472,96
52,20,132,12
88,40,256,32
232,76,420,364
244,72,464,144
204,68,484,164
192,60,256,200
56,20,160,20
276,80,480,136
52,16,192,12
60,24,184,28
320,80,528,172
308,72,488,160
72,32,236,12
188,68,404,352
292,80,528,168
296,76,516,204
240,76,492,144
264,76,520,172
236,72,420,348
60,28,212,20
64,28,172,16
264,76,472,156
160,68,328,76
268,76,532,172
52,20,184,12
68,28,200,16
348,76,512,160
348,80,540,192
124,52,200,172
296,80,504,172
340,84,524,172
208,64,468,148
260,80,552,192
284,76,488,184
160,68,420,132
256,76,432,144
272,72,548,184
68,28,168,24
256,72,328,52
240,68,444,156
244,72,464,148
60,24,172,16
212,68,308,348
264,80,492,160
228,72,472,140
284,80,496,164
228,72,172,8
256,80,492,144
52,16,184,8
236,72,500,156
264,80,548,152
128,52,260,36
260,80,532,196
180,60,204,176
64,28,216,16
220,68,516,152
44,12,188,16
136,56,224,228
200,64,276,292
220,68,324,324
68,32,212,12
44,12,188,8
320,84,564,184
296,88,536,128
148,60,280,292
344,84,556,176
228,72,504,156
204,68,256,268
320,88,528,184
56,20,220,12
64,28,192,24
276,72,508,148
300,76,568,192
352,80,540,200
264,76,544,168
152,60,264,232
320,84,548,200
324,84,544,196
64,28,236,24
308,80,528,208
336,84,576,196
64,28,240,16
220,72,496,164
68,28,272,28
64,28,240,16
48,20,184,12
332,80,552,216
320,80,496,152
68,28,228,20
328,76,516,160
236,76,364,320
52,16,168,20
280,80,492,164
208,64,192,212
140,64,268,168
304,80,508,168
252,72,472,184
272,80,580,188
236,72,496,152
288,76,484,164
300,76,524,172
160,60,428,288
44,16,144,12
296,76,536,172
64,28,192,28
196,68,452,464
280,72,460,144
44,8,92,28
188,64,240,256
52,24,156,20
44,8,172,12
48,12,172,8
52,24,176,16
260,76,516,168
52,20,184,16
48,16,192,24
192,68,284,216
196,64,412,300
68,28,184,16
196,68,424,336
172,56,272,36
68,28,196,16
148,60,220,200
64,28,176,16
68,28,196,16
260,72,548,156
60,24,276,52
44,8,132,12
152,60,288,300
236,76,452,140
268,76,444,136
232,68,544,180
236,72,508,176
212,68,296,268
176,60,220,204
136,60,236,200
188,68,496,172
100,40,328,28
304,80,496,160
264,100,512,196
68,28,256,16
92,40,240,20
104,44,296,32
44,8,156,12
320,84,568,168
292,76,520,156
204,68,408,364
48,12,196,20
320,84,556,192
308,76,536,176
44,8,132,12
216,68,412,408
248,72,460,164
320,76,556,204
48,16,144,16
324,76,516,192
60,28,696,64
332,84,480,164
284,76,560,204
212,72,452,384
44,8,236,12
288,80,544,192
52,20,164,20
256,76,508,140
288,80,496,164
284,76,544,156
48,16,156,4
316,68,244,236
52,24,264,16
212,68,444,368
44,8,192,12
68,28,160,20
316,80,480,156
76,32,168,16
108,44,292,32
320,76,524,164
88,36,228,20
184,64,376,312
64,28,216,24
160,64,248,200
280,76,516,168
296,80,484,168
48,16,224,12
304,76,540,152
184,72,260,172
304,76,532,188
68,32,192,16
52,16,192,16
308,76,512,156
48,16,164,20
228,72,292,264
196,68,444,412
220,72,520,192
132,56,216,196
304,76,520,156
172,72,492,684
268,72,460,148
68,28,260,20
80,36,212,24
164,60,248,208
80,36,212,20
228,76,420,400
304,72,516,184
424,84,692,160
188,68,400,396
60,24,220,16
260,72,472,184
52,20,236,16
172,56,300,268
68,28,272,28
88,40,208,20
288,80,456,164
288,80,524,164
284,76,476,132
444,132,688,120
44,12,152,24
376,84,544,192
252,76,512,148
260,72,524,180
308,80,536,192
56,24,232,16
44,16,224,16
192,64,500,160
52,20,140,12
52,20,160,16
232,84,392,396
48,16,172,20
48,16,172,8
56,24,228,32
52,20,184,12
320,84,540,180
52,20,136,24
44,8,152,16
48,16,176,12
268,76,532,160
72,28,216,16
56,24,188,24
268,76,468,144
160,68,272,156
268,80,588,212
232,68,284,292
52,24,128,12
220,72,384,300
316,76,476,152
44,16,152,28
284,76,512,180
64,24,204,20
224,68,452,380
44,12,220,16
344,88,524,172
100,44,252,24
212,68,300,232
292,80,504,160
72,32,240,20
52,20,112,24
280,72,516,188
164,64,264,212
276,76,500,164
328,84,488,168
116,44,256,36
116,48,228,28
308,80,540,172
80,36,188,32
188,68,460,380
244,76,524,156
56,24,176,12
136,52,452,0
80,36,240,16
116,48,136,24
48,20,144,8
296,76,536,184
264,76,576,184
56,24,204,8
220,80,424,420
260,68,464,172
176,64,460,152
92,40,200,32
76,32,220,12
276,72,508,156
296,76,504,188
48,16,240,12
48,16,184,20
296,80,520,192
52,20,116,24
44,8,160,12
164,60,256,196
296,76,532,164
72,32,188,28
256,72,520,152
200,76,408,368
256,76,508,144
264,76,524,172
164,60,256,196
308,84,556,164
140,56,268,320
192,64,288,308
196,64,468,352
280,72,488,168
44,12,152,12
48,12,160,4
60,24,184,16
196,64,236,212
88,36,252,32
104,44,244,24
288,76,540,192
44,12,156,8
312,88,560,176
300,80,544,188
208,64,308,284
288,80,532,152
44,12,132,16
48,12,136,16
72,32,236,40
328,84,540,176
44,12,188,8
212,72,472,136
52,20,156,16
276,72,496,168
140,56,228,200
188,68,272,196
56,24,184,20
124,52,220,28
312,84,576,192
316,76,524,160
60,28,232,40
44,12,168,4
300,76,516,164
216,68,284,284
212,72,400,408
192,68,256,204
60,24,192,16
300,80,528,180
52,20,220,24
304,84,504,144
192,64,296,300
288,84,580,176
60,24,184,16
220,72,536,164
60,24,200,12
60,24,188,20
204,64,324,276
228,68,468,152
72,32,336,0
68,32,224,16
244,68,460,144
276,76,484,176
