Forward Scatter Signal,Forward Scatter Pulse Width Signal,Side Scatter Signal,Side Fluorescence Signal
176,60,268,212
112,44,260,40
68,28,200,8
52,20,164,20
48,16,148,8
44,8,148,8
52,20,176,12
248,72,540,136
44,12,172,8
72,32,204,12
60,24,232,24
64,28,168,20
56,20,176,12
176,64,336,340
64,28,168,12
64,28,272,16
240,72,428,340
56,24,156,20
152,60,260,224
52,20,176,12
312,80,552,164
132,52,240,36
88,40,248,24
108,48,276,24
180,64,268,244
308,88,540,168
44,8,112,12
248,80,536,152
48,12,140,8
44,12,180,8
48,16,112,16
436,84,568,208
52,20,152,20
176,60,228,196
172,64,236,184
336,80,556,164
252,72,524,168
288,80,460,140
108,44,208,24
304,76,536,176
56,24,180,8
52,20,220,12
44,8,188,12
312,76,536,176
324,76,476,152
44,8,164,8
316,76,512,164
288,80,520,156
52,20,144,12
180,60,300,288
180,64,288,184
56,24,176,12
56,20,200,24
52,20,188,8
184,64,332,320
228,64,468,152
76,32,200,12
68,28,228,12
96,40,200,20
176,60,228,196
236,68,508,140
60,24,144,16
104,44,232,20
96,40,228,20
44,12,152,8
212,68,424,296
72,32,200,12
188,64,288,224
296,80,508,156
296,72,532,176
128,56,296,80
48,12,172,8
244,72,500,152
56,24,176,16
80,36,188,28
68,32,128,16
212,68,404,300
196,60,332,36
40,8,216,12
56,24,160,16
272,76,536,180
60,24,140,4
48,16,168,12
44,16,216,12
84,36,176,20
172,60,260,236
204,64,308,224
260,72,552,156
336,72,540,156
68,28,164,12
44,8,160,20
332,76,536,168
296,72,516,172
364,88,596,212
52,16,172,12
56,20,172,12
80,36,204,16
328,84,580,184
280,72,480,140
324,76,568,196
332,80,552,188
348,80,536,172
48,16,160,16
52,20,168,12
88,36,232,32
76,32,252,16
280,80,516,148
340,84,540,180
76,32,228,12
152,56,232,196
212,64,256,204
304,72,504,168
72,28,200,20
136,52,244,204
180,64,264,212
304,80,556,168
260,72,472,176
80,32,192,24
56,24,160,12
296,76,500,148
312,76,480,152
80,32,196,12
312,80,480,152
56,20,164,12
172,60,308,248
164,60,272,220
264,72,548,148
220,68,424,324
56,20,220,20
328,76,540,180
328,80,532,160
344,76,504,168
48,16,164,12
212,64,172,208
56,20,220,16
60,28,192,16
304,80,572,168
64,28,168,12
304,80,528,160
220,68,408,284
196,64,284,192
148,56,252,36
344,76,560,176
280,76,528,164
312,76,508,152
140,56,300,240
296,80,564,212
68,32,216,24
288,80,520,144
152,56,236,228
72,32,220,16
52,20,160,12
68,28,204,16
88,36,212,12
44,12,128,12
288,72,556,168
88,40,260,24
152,56,344,72
88,40,256,28
56,24,176,12
280,80,484,160
216,68,448,364
60,24,184,16
136,56,252,156
180,60,220,168
48,12,152,16
212,72,464,388
48,16,108,8
44,12,152,8
44,16,156,4
320,76,580,176
236,72,424,292
224,68,208,240
64,28,152,16
72,32,168,24
80,36,224,20
236,76,508,132
52,20,248,12
148,56,272,24
252,72,528,168
204,64,272,232
48,12,276,20
80,36,204,16
212,68,288,224
328,76,496,144
252,76,500,140
296,76,460,156
56,20,160,16
76,32,212,16
272,72,524,164
76,32,220,24
224,68,384,328
276,76,496,152
52,16,128,16
52,20,176,12
48,16,204,20
332,84,548,196
52,20,144,24
288,80,540,164
92,40,252,20
144,52,260,32
68,32,168,28
64,32,168,16
104,40,172,20
44,8,160,8
212,64,484,132
48,16,144,20
164,60,348,388
308,76,472,164
60,24,208,12
288,76,548,176
204,72,408,316
52,20,152,16
72,32,200,20
44,12,176,12
88,40,200,20
156,60,196,204
272,72,528,164
44,8,164,12
84,36,220,20
44,12,192,16
48,16,180,12
100,40,212,20
332,76,512,176
60,24,208,16
260,76,568,180
52,20,144,12
68,28,216,24
44,12,144,8
48,16,204,12
276,76,476,128
304,80,512,160
268,80,536,144
76,36,208,12
88,40,188,24
84,36,244,24
80,36,252,20
52,20,140,12
232,68,528,156
48,16,164,12
232,72,536,160
100,40,228,24
296,80,508,188
248,72,520,156
356,80,600,184
60,28,144,12
72,32,172,12
56,24,196,16
236,76,528,200
64,28,188,12
308,76,464,168
200,60,152,4
44,12,176,12
128,48,256,28
156,60,288,272
244,76,544,168
60,24,204,28
56,20,188,4
240,76,520,148
48,16,208,8
304,72,516,164
56,24,184,8
92,40,204,24
152,56,264,224
152,64,424,340
44,12,160,8
264,68,524,188
220,72,576,196
340,76,548,168
172,72,236,188
300,84,540,160
92,40,188,24
52,24,196,8
300,72,544,164
148,56,308,276
44,12,140,12
52,20,144,16
176,68,256,216
76,32,176,16
52,20,164,16
228,72,496,152
292,76,544,160
112,44,216,16
268,80,552,172
44,12,168,12
60,24,188,12
340,88,728,116
156,60,460,416
52,20,152,8
80,36,144,16
264,72,496,136
288,72,508,144
84,36,208,20
304,80,556,172
44,8,152,4
308,80,532,184
52,20,248,16
56,24,140,4
268,76,488,148
52,16,164,12
204,64,256,232
44,12,196,12
180,60,248,204
340,88,580,208
44,8,192,12
44,12,156,12
52,20,220,20
288,84,528,180
184,64,440,324
148,60,200,212
148,68,468,104
368,84,544,176
196,72,472,160
340,80,512,176
276,76,524,156
80,36,244,24
300,72,476,140
264,72,508,152
276,76,512,168
48,16,216,16
68,32,212,12
288,72,524,176
356,84,504,152
48,16,152,16
52,20,168,12
248,72,508,180
160,60,292,248
268,72,428,400
44,12,200,12
360,84,508,164
48,16,188,8
292,76,556,208
60,24,204,12
212,68,532,164
368,84,532,172
136,52,212,16
56,24,156,16
236,76,548,164
92,36,240,20
316,76,500,164
260,76,536,164
288,76,452,144
264,72,476,140
48,16,188,16
204,64,340,308
56,24,156,16
156,56,248,44
48,12,144,16
324,80,528,180
52,16,144,16
56,24,176,16
52,20,172,8
320,80,576,188
200,64,384,356
232,68,504,160
60,24,192,8
256,72,468,132
56,24,144,12
56,24,156,16
44,8,188,12
56,20,188,12
60,24,168,20
60,24,184,12
192,64,244,224
52,24,204,12
344,80,556,232
44,8,144,12
100,44,284,20
304,84,552,192
192,64,256,248
44,8,152,12
56,24,188,12
260,72,400,272
52,32,224,32
276,80,484,176
60,28,188,20
376,84,596,196
96,40,296,32
68,32,160,20
208,64,208,196
44,12,192,12
232,72,420,380
176,60,280,192
76,32,208,12
48,16,200,8
372,92,596,192
152,60,312,172
48,12,192,12
44,12,152,16
176,60,256,172
56,24,168,20
72,32,228,12
304,76,452,144
84,36,208,16
308,84,580,208
56,24,200,16
216,72,320,76
52,20,248,24
64,28,156,8
80,36,232,20
48,12,164,16
212,68,432,332
188,60,248,156
276,72,520,176
64,24,168,20
48,16,152,12
188,60,292,36
52,20,196,12
44,8,132,8
272,80,580,180
308,76,536,172
52,16,132,12
176,60,256,32
336,76,528,172
44,12,140,12
276,72,516,192
60,28,176,16
68,28,156,12
160,60,324,104
204,72,428,332
340,80,556,192
56,24,232,8
324,76,452,160
216,72,400,348
48,16,172,12
48,12,204,16
60,24,248,28
340,80,576,224
44,12,152,12
260,76,604,172
108,44,172,36
228,68,536,140
284,76,528,196
108,44,264,24
292,72,484,156
284,72,508,152
44,8,136,8
368,80,556,196
252,68,468,132
264,76,504,168
48,16,188,12
352,80,584,184
248,72,416,412
72,32,232,12
44,8,184,8
284,72,500,144
80,36,216,16
44,8,200,4
308,80,520,148
192,68,480,116
92,40,260,20
60,28,204,12
204,72,428,292
44,12,212,16
44,12,184,12
52,16,176,8
60,24,204,20
236,72,516,172
72,28,232,16
92,40,236,20
76,36,220,16
208,72,440,320
48,12,164,12
44,16,200,12
304,80,540,172
196,64,484,156
308,76,492,152
60,24,216,16
88,36,248,16
52,20,192,8
56,24,220,20
232,72,428,392
184,60,336,340
336,80,560,208
344,84,536,188
244,76,516,196
60,28,152,12
224,68,300,292
52,16,128,12
304,76,580,200
108,44,220,24
260,72,504,152
272,76,516,144
236,76,500,156
308,76,504,164
168,60,288,244
364,84,548,176
240,72,520,128
280,76,540,180
388,88,736,128
48,16,192,16
160,56,312,32
48,16,160,8
56,24,168,20
56,24,160,16
44,16,152,12
276,80,576,212
80,32,240,20
80,36,196,28
296,84,548,184
232,72,504,148
272,80,596,200
328,72,544,152
204,64,260,260
332,84,552,192
52,20,144,8
52,24,216,20
148,56,288,180
332,88,576,204
56,20,216,16
76,32,224,24
228,68,408,112
72,32,164,12
316,76,548,160
44,8,172,12
352,84,552,176
52,16,132,20
92,40,220,16
64,28,224,12
328,80,556,180
60,24,156,16
344,80,604,188
300,80,500,148
48,16,212,12
48,16,216,8
52,20,192,16
64,28,148,8
328,80,544,172
168,64,440,372
348,80,548,188
84,36,220,16
236,72,552,160
276,76,560,196
288,76,564,192
220,72,524,152
216,64,284,316
44,8,172,12
60,28,184,12
364,84,556,172
44,8,156,20
68,28,200,8
376,88,564,196
312,80,576,188
44,8,188,12
48,16,152,12
44,8,160,8
60,28,172,16
60,24,112,12
100,44,236,20
48,12,136,16
56,24,116,8
88,40,208,32
244,68,468,120
80,32,240,20
240,64,472,156
112,44,232,20
56,24,232,12
296,80,504,172
328,84,524,164
44,8,128,4
92,40,208,20
48,16,108,8
56,20,196,20
320,76,512,168
72,32,212,12
76,32,176,32
44,12,176,20
48,16,128,16
104,44,268,28
296,80,580,188
56,20,204,16
328,72,496,172
44,12,168,12
44,12,160,12
64,28,188,20
60,24,220,12
328,76,500,152
172,60,336,308
252,76,532,148
56,20,204,16
152,56,236,196
164,60,284,244
72,32,196,20
320,80,552,172
44,12,120,16
304,76,552,176
336,80,528,168
388,84,528,208
64,28,172,20
64,28,200,16
48,16,164,20
60,24,152,8
244,72,412,376
44,8,144,16
208,68,380,132
112,44,252,32
48,16,168,20
44,12,184,12
252,72,444,148
260,72,536,168
256,76,464,140
292,76,568,184
272,76,516,140
52,20,196,4
240,80,536,172
60,24,228,20
48,16,208,4
52,20,220,8
212,68,252,232
320,76,528,172
60,28,184,16
208,64,284,212
60,28,212,28
300,80,500,164
104,44,188,20
76,32,228,28
76,36,172,12
320,76,516,172
44,12,184,4
44,12,160,12
44,12,160,8
328,80,532,184
120,48,268,24
284,72,480,160
68,32,212,20
168,60,312,260
232,72,424,380
48,16,152,24
340,80,500,144
316,80,576,176
264,72,504,168
64,24,188,16
48,12,152,8
196,64,328,280
76,32,160,32
44,8,148,8
48,12,228,16
52,20,168,16
292,72,536,192
272,72,512,168
60,24,168,12
320,76,492,176
312,76,588,184
192,64,260,196
72,32,184,16
48,16,144,16
64,28,204,8
48,16,136,24
208,68,444,436
340,84,564,188
84,36,148,16
320,80,568,192
76,32,216,20
148,60,168,0
76,32,220,16
244,76,500,160
44,12,80,12
164,60,272,256
280,72,520,156
48,12,168,8
340,80,512,180
48,16,184,24
248,72,484,164
68,44,244,20
272,76,464,144
48,16,180,16
116,48,240,24
324,80,520,168
232,68,456,128
64,24,192,16
108,48,228,32
276,76,548,148
80,36,204,24
60,28,200,20
104,60,412,72
68,32,176,12
56,24,164,16
52,16,164,12
56,24,208,12
140,52,280,24
64,28,164,12
48,16,116,16
64,28,176,12
52,16,188,12
304,80,544,192
192,60,264,224
208,76,408,344
108,44,240,36
204,64,308,324
304,76,520,156
112,44,256,24
340,76,564,180
220,64,332,292
48,16,140,20
68,28,212,16
44,8,168,16
92,40,236,32
80,32,220,24
84,36,172,16
288,76,480,136
308,76,572,140
64,28,252,20
236,72,532,164
184,60,260,184
52,20,200,16
340,80,564,188
48,16,188,8
136,56,316,272
228,72,560,148
304,72,500,168
288,80,540,152
52,20,188,16
76,32,188,24
48,16,184,20
64,28,180,16
76,36,196,12
52,20,188,12
304,76,528,152
80,36,160,12
288,80,532,156
72,32,200,16
296,76,592,156
184,60,276,212
284,72,492,164
48,12,132,12
184,60,264,36
76,28,192,4
152,60,280,212
364,84,544,176
216,72,408,352
92,36,204,16
64,24,212,12
248,72,548,152
136,60,224,128
288,72,520,156
56,24,204,12
264,72,524,160
80,36,204,24
60,24,200,20
96,40,244,20
264,72,484,144
60,24,220,12
76,36,192,12
212,64,292,248
52,16,180,12
184,60,236,48
68,28,204,12
72,32,172,12
340,88,468,152
52,20,168,12
300,80,596,176
336,76,516,160
208,68,448,276
224,68,348,284
336,76,508,160
44,12,152,20
44,8,152,8
264,72,580,172
80,36,176,12
48,12,192,12
316,76,516,160
244,72,488,168
64,24,184,16
52,16,156,8
76,32,196,24
44,12,184,20
84,36,212,24
72,32,204,20
172,60,272,228
352,84,572,156
296,72,480,152
276,76,468,120
332,84,580,220
128,48,256,24
316,80,544,168
60,28,192,12
196,72,444,376
56,20,180,16
260,72,540,160
60,24,196,16
340,84,596,228
284,76,520,156
180,60,268,208
336,84,612,188
236,72,464,120
272,72,504,144
76,32,204,16
64,28,200,24
68,28,168,20
44,12,168,8
52,20,204,16
92,40,180,20
44,8,192,16
48,16,184,16
68,32,168,12
56,20,160,8
196,68,472,148
68,28,240,28
44,8,180,8
240,72,432,376
44,12,168,12
300,76,540,168
44,12,180,12
48,20,168,12
268,76,564,172
284,76,548,152
60,24,144,12
76,32,196,16
332,76,528,160
48,12,112,8
68,28,232,12
216,68,420,336
136,52,292,32
60,28,244,12
368,88,576,180
136,56,408,12
284,76,504,148
64,28,200,24
136,56,264,180
80,36,220,28
64,28,204,16
312,80,500,196
52,20,192,8
96,40,244,16
68,28,228,12
188,64,300,244
56,24,216,12
68,28,176,16
44,12,124,12
192,68,512,136
48,16,160,8
64,28,240,16
140,56,156,220
176,60,228,204
52,20,148,16
256,72,524,160
44,8,140,8
52,20,156,16
348,84,580,204
56,24,200,16
300,72,452,140
268,72,428,148
96,40,224,28
44,8,120,16
248,68,548,204
188,64,240,212
372,80,564,180
344,80,548,172
84,36,220,24
52,16,136,8
48,16,208,20
220,68,520,148
192,64,280,252
44,12,140,12
80,36,180,20
64,28,192,16
52,20,188,16
44,12,96,12
48,16,128,12
328,84,492,148
316,80,536,168
56,20,236,20
172,64,304,236
44,12,184,8
256,80,540,192
52,20,176,12
100,44,276,20
44,12,144,4
64,28,244,24
376,88,612,200
352,80,472,160
60,24,224,16
296,76,516,176
292,76,444,136
184,76,504,196
244,72,412,356
148,60,264,180
280,72,528,184
44,12,148,12
284,80,532,180
236,72,492,132
304,80,532,168
48,16,104,12
52,20,192,20
156,56,252,224
172,64,444,336
60,24,196,12
48,16,200,16
76,32,208,12
52,20,144,12
44,12,140,12
44,12,128,12
52,20,208,12
64,28,220,8
268,72,588,184
272,80,508,148
144,56,196,156
76,32,164,16
312,80,564,172
328,80,532,172
60,24,204,16
64,28,244,20
216,68,296,308
92,36,236,16
332,80,564,180
56,20,132,8
64,28,180,24
68,28,220,24
92,40,184,24
136,52,256,44
84,36,236,16
336,80,568,164
108,40,248,28
332,84,504,172
300,84,528,168
200,64,304,204
64,24,176,20
396,84,584,216
312,84,540,144
44,8,156,8
108,44,272,16
344,84,720,108
288,76,572,152
328,80,568,184
304,84,540,172
88,48,376,188
132,52,248,224
44,16,140,12
72,28,236,12
92,36,244,20
64,28,176,20
56,24,168,12
196,64,284,252
372,80,520,164
68,28,196,16
64,24,176,8
116,44,300,24
176,68,420,368
72,28,236,8
48,16,92,16
240,76,500,140
44,8,160,4
368,84,752,116
60,24,236,12
176,64,264,244
380,84,560,208
80,36,220,12
96,40,220,32
240,68,468,168
60,24,208,12
44,8,184,8
68,32,180,12
48,16,196,20
48,16,160,8
104,44,216,20
68,28,152,8
420,92,788,132
356,80,556,160
80,36,224,16
56,24,276,0
44,8,164,24
184,64,308,172
48,12,200,12
308,76,576,160
52,20,224,12
56,24,188,20
336,84,572,172
104,44,216,40
200,64,248,184
48,16,104,16
48,16,132,16
56,24,216,12
48,16,136,8
48,16,128,8
220,64,292,272
236,72,444,308
48,12,160,12
60,24,156,12
236,68,332,232
316,80,584,208
168,60,680,8
64,24,220,32
48,20,184,12
72,32,156,16
48,12,184,20
196,64,240,216
276,80,464,140
44,8,144,8
208,68,448,388
44,12,180,20
68,32,200,16
84,36,200,28
80,36,220,16
340,80,520,168
44,8,160,12
44,16,200,12
52,20,176,8
48,12,212,12
44,12,160,8
324,76,484,144
44,12,120,12
48,12,188,8
284,72,520,148
184,64,256,200
56,24,212,24
300,80,556,172
60,24,196,20
84,36,220,16
56,20,192,12
208,64,292,336
344,76,468,144
292,76,548,160
48,12,160,16
48,16,160,8
336,80,528,200
324,80,480,168
312,80,556,176
44,8,120,20
48,12,160,12
308,84,560,176
136,56,304,284
56,24,192,8
328,80,560,160
48,16,84,16
144,80,388,144
72,32,240,12
52,20,192,4
148,56,208,36
300,72,544,176
48,16,172,12
328,76,544,168
148,60,288,180
44,12,148,12
52,20,224,16
304,80,524,136
148,60,184,8
44,8,152,8
76,32,272,20
48,12,152,8
72,32,120,28
204,64,248,164
164,60,276,152
328,80,528,192
56,20,204,8
48,16,160,12
104,44,244,24
188,64,316,312
160,60,268,252
44,12,120,16
80,36,184,20
64,24,232,12
68,28,192,12
92,40,224,20
244,72,544,176
72,28,156,8
280,72,488,140
44,8,184,20
144,56,276,228
260,72,492,136
48,12,144,12
68,32,156,16
80,32,244,12
48,16,136,12
52,20,188,12
44,12,136,16
308,76,520,164
60,28,160,12
80,36,208,16
192,64,292,280
328,80,592,212
64,28,188,20
312,76,468,140
52,24,200,16
108,44,284,20
316,80,532,172
52,24,204,16
68,28,188,8
64,28,180,24
352,80,552,196
260,72,504,152
228,68,280,208
52,20,192,24
348,80,496,156
196,68,284,268
308,84,560,164
368,80,540,180
264,72,508,140
240,72,532,156
148,56,288,252
132,52,252,20
68,28,220,12
136,52,228,28
60,24,180,12
336,80,584,200
324,76,520,168
192,60,280,240
352,88,400,80
48,16,188,12
56,20,184,12
48,16,152,16
264,72,524,152
172,60,260,228
52,20,220,32
56,24,168,16
48,16,216,12
164,60,288,208
56,24,192,16
48,12,148,12
272,72,284,64
56,20,188,16
52,20,176,12
64,28,188,24
332,80,540,184
252,68,540,168
76,32,236,16
264,68,460,140
176,64,272,244
312,76,536,184
72,28,248,20
48,20,160,12
308,84,540,168
68,32,188,32
236,64,384,300
260,76,508,152
64,28,236,20
56,24,196,12
320,84,512,156
52,20,148,12
88,40,236,16
64,24,212,16
264,76,496,148
320,80,548,180
104,44,288,40
216,72,332,464
296,80,536,164
44,8,144,12
188,64,380,412
352,88,580,212
92,40,208,12
272,76,540,160
60,24,192,12
48,16,160,16
304,76,480,144
228,72,404,692
64,28,280,12
48,16,156,4
48,16,120,12
160,60,276,232
292,72,492,156
44,12,168,8
44,12,140,12
48,16,128,12
204,68,484,132
52,16,128,16
52,20,152,8
356,80,524,140
44,12,156,12
44,12,156,8
280,72,464,128
196,60,436,120
296,76,516,160
304,76,424,144
72,32,192,16
152,60,312,204
48,16,184,12
48,16,192,12
276,76,576,180
224,72,500,144
56,20,164,20
188,60,268,180
60,24,204,16
332,80,544,168
280,76,548,156
96,40,244,16
280,80,556,188
44,8,180,8
420,88,736,128
56,24,176,16
348,84,576,196
52,20,176,8
52,20,140,8
44,12,144,16
312,72,516,148
188,64,260,212
176,60,324,256
68,28,168,8
308,76,536,168
52,20,224,20
144,56,304,288
304,76,460,156
412,88,548,208
48,16,160,8
180,60,280,256
148,56,272,208
52,20,268,0
216,68,460,180
316,80,504,176
48,16,144,8
44,12,168,12
52,20,156,12
52,20,156,16
52,20,192,12
60,24,208,8
232,68,440,156
48,16,180,12
48,16,148,12
80,32,228,16
248,80,532,144
72,32,200,16
48,12,184,16
276,72,496,180
64,28,236,16
48,12,164,12
260,76,448,148
72,32,200,20
152,56,204,188
332,76,504,168
64,28,192,16
52,20,192,16
184,64,288,272
252,72,484,152
376,80,548,188
52,20,204,12
52,20,120,8
348,88,544,172
188,60,300,200
280,76,456,152
272,92,492,148
256,72,468,140
48,16,152,16
276,76,512,160
44,12,140,16
204,60,380,276
52,20,180,12
348,80,576,164
64,28,176,16
48,16,108,8
112,48,244,16
56,20,212,20
96,40,268,16
184,72,348,384
308,76,548,172
88,36,216,12
48,20,144,16
256,68,440,148
224,72,528,156
180,64,240,232
220,68,304,228
284,76,520,160
108,48,268,28
204,76,496,124
300,80,556,164
60,24,168,16
152,80,276,196
48,12,204,12
308,76,492,168
224,72,428,368
404,84,732,120
64,28,196,8
160,56,252,208
72,32,184,16
76,32,220,20
320,76,524,148
44,8,120,12
296,72,548,152
296,76,504,152
48,16,132,12
52,20,160,16
268,76,552,148
56,24,156,8
264,76,556,156
156,56,144,0
60,24,200,16
336,88,552,184
308,76,544,188
56,20,188,20
280,72,448,152
48,16,196,12
280,72,476,144
168,64,408,324
192,64,316,376
368,84,548,196
52,20,180,4
52,20,204,12
288,76,572,172
68,32,196,20
44,12,120,8
324,80,540,184
44,8,212,12
64,28,176,12
172,60,280,288
56,20,168,16
316,76,500,168
60,24,112,16
240,76,492,136
56,24,140,12
56,20,220,16
240,72,548,152
272,80,544,168
144,60,268,220
296,76,500,168
60,20,168,12
48,16,212,8
328,72,492,208
56,24,168,12
56,24,168,12
200,64,292,276
260,72,560,160
264,76,516,176
96,40,284,36
48,12,164,8
372,84,532,172
380,84,580,212
272,72,528,156
60,24,168,20
120,56,380,244
60,28,188,12
208,68,424,308
68,28,192,16
44,12,140,12
56,24,184,24
48,16,124,12
44,12,88,12
72,32,408,12
184,68,304,252
176,72,504,132
296,80,520,164
76,36,232,20
56,24,200,16
180,68,384,240
56,24,192,8
60,28,112,20
52,20,176,8
280,80,540,176
288,72,504,176
44,12,172,20
292,76,564,196
56,24,232,12
60,28,204,20
64,28,192,16
48,16,144,12
44,12,152,16
244,72,496,144
72,32,224,20
64,28,240,8
76,32,196,16
48,16,188,24
68,28,184,20
52,20,236,16
124,48,264,24
312,76,548,184
96,40,236,20
44,12,140,12
116,44,220,20
276,72,436,128
264,76,520,168
348,80,464,168
196,64,236,212
240,76,488,144
364,84,588,196
48,16,144,12
64,24,188,16
52,20,196,16
48,16,144,20
48,20,172,12
260,80,548,180
272,76,460,132
296,76,508,164
272,76,440,328
244,68,504,180
300,84,564,160
324,76,512,156
64,24,164,12
56,24,188,12
328,80,552,172
52,20,148,8
336,80,524,156
180,64,260,228
232,72,448,320
364,84,616,212
52,20,204,24
44,8,132,20
204,64,300,36
44,12,148,12
192,68,400,104
104,44,204,20
356,84,592,168
264,80,516,160
180,60,240,216
300,76,452,152
52,20,108,8
44,12,148,12
44,8,164,4
140,52,264,32
296,72,536,168
300,80,512,156
280,76,484,164
60,24,228,8
212,64,484,144
76,32,204,16
48,16,120,12
328,84,564,172
68,28,224,12
288,76,512,172
64,28,200,12
264,76,504,148
52,20,144,8
192,64,336,36
332,80,508,148
96,40,196,28
164,60,264,188
64,28,156,40
